 Number	Time[sec]	Conduct[uS]	TempWater[C]
    164	  1328.40	       0.64	      22.30	
    165	  1336.50	       0.83	      22.40	
    166	  1344.60	       0.95	      22.40	
    167	  1352.70	       1.16	      22.40	
    168	  1360.80	       1.46	      22.40	
    169	  1368.90	       1.51	      22.40	
    170	  1377.00	       1.90	      22.40	
    171	  1385.10	       2.03	      22.40	
    172	  1393.20	       2.21	      22.40	
    173	  1401.30	       2.46	      22.40	
    174	  1409.40	       2.57	      22.40	
    175	  1417.50	       2.86	      22.40	
    176	  1425.60	       3.01	      22.40	
    177	  1433.70	       3.04	      22.40	
    178	  1441.80	       3.24	      22.40	
    179	  1449.90	       3.44	      22.40	
    180	  1458.00	       3.55	      22.40	
    181	  1466.10	       3.68	      22.40	
    182	  1474.20	       3.76	      22.40	
    183	  1482.30	       3.95	      22.40	
    184	  1490.40	       4.08	      22.40	
    185	  1498.50	       4.14	      22.40	
    186	  1506.60	       4.34	      22.40	
    187	  1514.70	       4.34	      22.40	
    188	  1522.80	       4.53	      22.40	
    189	  1530.90	       4.66	      22.40	
    190	  1539.00	       4.74	      22.40	
    191	  1547.10	       4.82	      22.40	
    192	  1555.20	       4.96	      22.40	
    193	  1563.30	       5.01	      22.40	
    194	  1571.40	       5.18	      22.40	
    195	  1579.50	       5.22	      22.40	
    196	  1587.60	       5.29	      22.40	
    197	  1595.70	       5.39	      22.40	
    198	  1603.80	       5.47	      22.40	
    199	  1611.90	       5.56	      22.40	
    200	  1620.00	       5.69	      22.40	
    201	  1628.10	       5.74	      22.40	
    202	  1636.20	       5.82	      22.40	
    203	  1644.30	       5.90	      22.40	
    204	  1652.40	       5.98	      22.40	
    205	  1660.50	       6.06	      22.40	
    206	  1668.60	       6.12	      22.40	
    207	  1676.70	       6.22	      22.40	
    208	  1684.80	       6.33	      22.40	
    209	  1692.90	       6.38	      22.40	
    210	  1701.00	       6.43	      22.40	
    211	  1709.10	       6.47	      22.40	
    212	  1717.20	       6.58	      22.40	
    213	  1725.30	       6.67	      22.40	
    214	  1733.40	       6.72	      22.50	
    215	  1741.50	       6.81	      22.50	
    216	  1749.60	       6.85	      22.50	
    217	  1757.70	       6.92	      22.50	
    218	  1765.80	       7.01	      22.50	
    219	  1773.90	       7.05	      22.50	
    220	  1782.00	       7.13	      22.50	
    221	  1790.10	       7.19	      22.50	
    222	  1798.20	       7.24	      22.50	
    223	  1806.30	       7.33	      22.50	
    224	  1814.40	       7.37	      22.50	
    225	  1822.50	       7.42	      22.50	
    226	  1830.60	       7.47	      22.50	
    227	  1838.70	       7.55	      22.50	
    228	  1846.80	       7.64	      22.50	
    229	  1854.90	       7.70	      22.50	
    230	  1863.00	       7.73	      22.50	
    231	  1871.10	       7.79	      22.50	
    232	  1879.20	       7.85	      22.50	
    233	  1887.30	       7.91	      22.50	
    234	  1895.40	       7.96	      22.50	
    235	  1903.50	       7.99	      22.50	
    236	  1911.60	       8.06	      22.50	
    237	  1919.70	       8.08	      22.50	
    238	  1927.80	       8.16	      22.50	
    239	  1935.90	       8.23	      22.50	
    240	  1944.00	       8.27	      22.50	
    241	  1952.10	       8.32	      22.50	
    242	  1960.20	       8.41	      22.50	
    243	  1968.30	       8.43	      22.50	
    244	  1976.40	       8.49	      22.50	
    245	  1984.50	       8.51	      22.50	
    246	  1992.60	       8.57	      22.50	
    247	  2000.70	       8.59	      22.50	
    248	  2008.80	       8.61	      22.50	
    249	  2016.90	       8.71	      22.50	
    250	  2025.00	       8.80	      22.50	
    251	  2033.10	       8.83	      22.50	
    252	  2041.20	       8.89	      22.50	
    253	  2049.30	       8.92	      22.50	
    254	  2057.40	       8.97	      22.50	
    255	  2065.50	       9.03	      22.50	
    256	  2073.60	       9.05	      22.50	
    257	  2081.70	       9.08	      22.50	
    258	  2089.80	       9.13	      22.50	
    259	  2097.90	       9.16	      22.50	
    260	  2106.00	       9.23	      22.50	
    261	  2114.10	       9.25	      22.50	
    262	  2122.20	       9.28	      22.50	
    263	  2130.30	       9.29	      22.50	
    264	  2138.40	       9.30	      22.50	
    265	  2146.50	       9.31	      22.60	
    266	  2154.60	       9.29	      22.60	
    267	  2162.70	       9.28	      22.60	
    268	  2170.80	       9.28	      22.60	
    269	  2178.90	       9.28	      22.60	
    270	  2187.00	       9.26	      22.60	
    271	  2195.10	       9.25	      22.60	
    272	  2203.20	       9.24	      22.60	
    273	  2211.30	       9.24	      22.60	
    274	  2219.40	       9.25	      22.60	
    275	  2227.50	       9.30	      22.60	
    276	  2235.60	       9.30	      22.60	
    277	  2243.70	       9.23	      22.60	
    278	  2251.80	       9.21	      22.60	
    279	  2259.90	       9.22	      22.60	
    280	  2268.00	       9.21	      22.60	
    281	  2276.10	       9.21	      22.60	
    282	  2284.20	       9.16	      22.60	
    283	  2292.30	       9.02	      22.60	
    284	  2300.40	       9.00	      22.60	
    285	  2308.50	       8.98	      22.60	
    286	  2316.60	       8.91	      22.60	
    287	  2324.70	       8.89	      22.60	
    288	  2332.80	       8.84	      22.60	
    289	  2340.90	       8.80	      22.60	
    290	  2349.00	       8.77	      22.60	
    291	  2357.10	       8.72	      22.60	
    292	  2365.20	       8.67	      22.60	
    293	  2373.30	       8.63	      22.60	
    294	  2381.40	       8.59	      22.60	
    295	  2389.50	       8.55	      22.60	
    296	  2397.60	       8.51	      22.60	
    297	  2405.70	       8.45	      22.60	
    298	  2413.80	       8.43	      22.60	
    299	  2421.90	       8.39	      22.60	
    300	  2430.00	       8.33	      22.60	
    301	  2438.10	       8.31	      22.60	
    302	  2446.20	       8.26	      22.60	
    303	  2454.30	       8.24	      22.60	
    304	  2462.40	       8.18	      22.60	
    305	  2470.50	       8.13	      22.60	
    306	  2478.60	       8.10	      22.60	
    307	  2486.70	       8.06	      22.60	
    308	  2494.80	       8.00	      22.60	
    309	  2502.90	       7.98	      22.60	
    310	  2511.00	       7.93	      22.60	
    311	  2519.10	       7.90	      22.60	
    312	  2527.20	       7.85	      22.60	
    313	  2535.30	       7.79	      22.60	
    314	  2543.40	       7.77	      22.60	
    315	  2551.50	       7.71	      22.60	
    316	  2559.60	       7.68	      22.60	
    317	  2567.70	       7.63	      22.60	
    318	  2575.80	       7.56	      22.60	
    319	  2583.90	       7.54	      22.60	
    320	  2592.00	       7.48	      22.60	
    321	  2600.10	       7.42	      22.60	
    322	  2608.20	       7.39	      22.60	
    323	  2616.30	       7.33	      22.60	
    324	  2624.40	       7.31	      22.60	
    325	  2632.50	       7.25	      22.60	
    326	  2640.60	       7.20	      22.60	
    327	  2648.70	       7.18	      22.60	
    328	  2656.80	       7.12	      22.60	
    329	  2664.90	       7.07	      22.60	
    330	  2673.00	       7.05	      22.60	
    331	  2681.10	       7.00	      22.60	
    332	  2689.20	       6.98	      22.60	
    333	  2697.30	       6.92	      22.60	
    334	  2705.40	       6.87	      22.60	
    335	  2713.50	       6.85	      22.60	
    336	  2721.60	       6.80	      22.60	
    337	  2729.70	       6.75	      22.60	
    338	  2737.80	       6.73	      22.60	
    339	  2745.90	       6.68	      22.60	
    340	  2754.00	       6.66	      22.60	
    341	  2762.10	       6.61	      22.60	
    342	  2770.20	       6.56	      22.60	
    343	  2778.30	       6.54	      22.60	
    344	  2786.40	       6.49	      22.60	
    345	  2794.50	       6.47	      22.60	
    346	  2802.60	       6.43	      22.60	
    347	  2810.70	       6.38	      22.60	
    348	  2818.80	       6.36	      22.60	
    349	  2826.90	       6.31	      22.60	
    350	  2835.00	       6.27	      22.60	
    351	  2843.10	       6.25	      22.60	
    352	  2851.20	       6.21	      22.60	
    353	  2859.30	       6.19	      22.60	
    354	  2867.40	       6.14	      22.60	
    355	  2875.50	       6.10	      22.60	
    356	  2883.60	       6.08	      22.60	
    357	  2891.70	       6.03	      22.60	
    358	  2899.80	       6.00	      22.60	
    359	  2907.90	       5.97	      22.60	
    360	  2916.00	       5.93	      22.60	
    361	  2924.10	       5.91	      22.60	
    362	  2932.20	       5.87	      22.60	
    363	  2940.30	       5.83	      22.60	
    364	  2948.40	       5.81	      22.60	
    365	  2956.50	       5.77	      22.60	
    366	  2964.60	       5.75	      22.60	
    367	  2972.70	       5.71	      22.60	
    368	  2980.80	       5.68	      22.60	
    369	  2988.90	       5.65	      22.60	
    370	  2997.00	       5.62	      22.60	
    371	  3005.10	       5.57	      22.60	
    372	  3013.20	       5.56	      22.60	
    373	  3021.30	       5.52	      22.60	
    374	  3029.40	       5.50	      22.60	
    375	  3037.50	       5.47	      22.60	
    376	  3045.60	       5.42	      22.60	
    377	  3053.70	       5.42	      22.60	
    378	  3061.80	       5.38	      22.60	
    379	  3069.90	       5.34	      22.60	
    380	  3078.00	       5.33	      22.60	
    381	  3086.10	       5.28	      22.60	
    382	  3094.20	       5.27	      22.60	
    383	  3102.30	       5.24	      22.60	
    384	  3110.40	       5.20	      22.60	
    385	  3118.50	       5.19	      22.60	
    386	  3126.60	       5.15	      22.60	
    387	  3134.70	       5.12	      22.60	
    388	  3142.80	       5.10	      22.60	
    389	  3150.90	       5.07	      22.60	
    390	  3159.00	       5.05	      22.60	
    391	  3167.10	       5.02	      22.60	
    392	  3175.20	       4.98	      22.60	
    393	  3183.30	       4.97	      22.60	
    394	  3191.40	       4.93	      22.60	
    395	  3199.50	       4.92	      22.60	
    396	  3207.60	       4.89	      22.60	
    397	  3215.70	       4.86	      22.60	
    398	  3223.80	       4.85	      22.60	
    399	  3231.90	       4.81	      22.60	
    400	  3240.00	       4.78	      22.60	
    401	  3248.10	       4.76	      22.60	
    402	  3256.20	       4.74	      22.60	
    403	  3264.30	       4.72	      22.60	
    404	  3272.40	       4.68	      22.60	
    405	  3280.50	       4.66	      22.60	
    406	  3288.60	       4.64	      22.60	
    407	  3296.70	       4.61	      22.60	
    408	  3304.80	       4.59	      22.60	
    409	  3312.90	       4.57	      22.60	
    410	  3321.00	       4.54	      22.60	
    411	  3329.10	       4.53	      22.60	
    412	  3337.20	       4.49	      22.60	
    413	  3345.30	       4.47	      22.60	
    414	  3353.40	       4.45	      22.60	
    415	  3361.50	       4.42	      22.60	
    416	  3369.60	       4.40	      22.60	
    417	  3377.70	       4.38	      22.60	
    418	  3385.80	       4.36	      22.60	
    419	  3393.90	       4.34	      22.60	
    420	  3402.00	       4.31	      22.60	
    421	  3410.10	       4.29	      22.60	
    422	  3418.20	       4.27	      22.60	
    423	  3426.30	       4.25	      22.60	
    424	  3434.40	       4.23	      22.60	
    425	  3442.50	       4.20	      22.60	
    426	  3450.60	       4.18	      22.60	
    427	  3458.70	       4.16	      22.60	
    428	  3466.80	       4.14	      22.60	
    429	  3474.90	       4.11	      22.60	
    430	  3483.00	       4.09	      22.60	
    431	  3491.10	       4.08	      22.60	
    432	  3499.20	       4.06	      22.60	
    433	  3507.30	       4.04	      22.60	
    434	  3515.40	       4.01	      22.60	
    435	  3523.50	       3.99	      22.60	
    436	  3531.60	       3.97	      22.70	
    437	  3539.70	       3.94	      22.60	
    438	  3547.80	       3.93	      22.70	
    439	  3555.90	       3.91	      22.70	
    440	  3564.00	       3.89	      22.70	
    441	  3572.10	       3.87	      22.70	
    442	  3580.20	       3.85	      22.70	
    443	  3588.30	       3.83	      22.70	
    444	  3596.40	       3.81	      22.70	
    445	  3604.50	       3.80	      22.70	
    446	  3612.60	       3.77	      22.70	
    447	  3620.70	       3.75	      22.70	
    448	  3628.80	       3.74	      22.70	
    449	  3636.90	       3.72	      22.70	
    450	  3645.00	       3.70	      22.70	
    451	  3653.10	       3.68	      22.70	
    452	  3661.20	       3.66	      22.70	
    453	  3669.30	       3.65	      22.70	
    454	  3677.40	       3.62	      22.70	
    455	  3685.50	       3.60	      22.70	
    456	  3693.60	       3.59	      22.70	
    457	  3701.70	       3.57	      22.70	
    458	  3709.80	       3.55	      22.70	
    459	  3717.90	       3.54	      22.70	
    460	  3726.00	       3.51	      22.70	
    461	  3734.10	       3.50	      22.70	
    462	  3742.20	       3.48	      22.70	
    463	  3750.30	       3.46	      22.70	
    464	  3758.40	       3.45	      22.70	
    465	  3766.50	       3.43	      22.70	
    466	  3774.60	       3.42	      22.70	
    467	  3782.70	       3.40	      22.70	
    468	  3790.80	       3.37	      22.70	
    469	  3798.90	       3.36	      22.70	
    470	  3807.00	       3.34	      22.70	
    471	  3815.10	       3.32	      22.70	
    472	  3823.20	       3.31	      22.70	
    473	  3831.30	       3.30	      22.70	
    474	  3839.40	       3.29	      22.70	
    475	  3847.50	       3.26	      22.70	
    476	  3855.60	       3.24	      22.70	
    477	  3863.70	       3.23	      22.70	
    478	  3871.80	       3.22	      22.70	
    479	  3879.90	       3.19	      22.70	
    480	  3888.00	       3.18	      22.70	
    481	  3896.10	       3.16	      22.70	
    482	  3904.20	       3.16	      22.70	
    483	  3912.30	       3.14	      22.70	
    484	  3920.40	       3.12	      22.70	
    485	  3928.50	       3.11	      22.70	
