        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-17.606707	
1.000000	8.100000	-18.177427	
2.000000	16.200001	-18.723610	
3.000000	24.299999	-19.345886	
4.000000	32.400002	-20.167286	
5.000000	40.500000	-20.840969	
6.000000	48.599998	-21.530231	
7.000000	56.700001	-21.723530	
8.000000	64.800003	-22.932697	
9.000000	72.900002	-23.279953	
10.000000	81.000000	-23.687695	
11.000000	89.099998	-24.400793	
12.000000	97.199997	-24.875008	
13.000000	105.300003	-24.683123	
14.000000	113.400002	-25.464424	
15.000000	121.500000	-25.813723	
16.000000	129.600006	-26.175404	
17.000000	137.699997	-26.900923	
18.000000	145.800003	-27.301430	
19.000000	153.899994	-28.198004	
20.000000	162.000000	-27.700314	
21.000000	170.100006	-28.118214	
22.000000	178.199997	-28.644085	
23.000000	186.300003	-29.193727	
24.000000	194.399994	-30.190422	
25.000000	202.500000	-30.870506	
26.000000	210.600006	-30.875340	
27.000000	218.699997	-31.188620	
28.000000	226.800003	-31.387028	
29.000000	237.380005	-32.165470	
30.000000	245.479996	-32.669044	
31.000000	257.220001	-33.266911	
32.000000	265.320007	-33.838760	
33.000000	273.420013	-34.174465	
34.000000	281.519989	-34.886078	
35.000000	289.619995	-35.551674	
36.000000	297.720001	-36.293613	
37.000000	305.820007	-38.949974	
38.000000	313.920013	-41.191227	
39.000000	322.019989	-41.817287	
40.000000	330.119995	-43.044254	
41.000000	338.220001	-43.827072	
42.000000	346.320007	-46.276424	
43.000000	354.420013	-46.682438	
44.000000	362.519989	-45.377274	
45.000000	370.619995	-47.428211	
46.000000	378.720001	-51.432899	
47.000000	386.820007	-57.259399	
48.000000	394.920013	-53.519943	
49.000000	403.019989	-56.673412	
50.000000	411.119995	-64.164543	
51.000000	419.220001	-73.954506	
52.000000	427.320007	-78.970894	
53.000000	435.420013	-70.094528	
54.000000	443.519989	-68.671127	
55.000000	453.570007	-186.373093	
56.000000	461.670013	-67.263039	
57.000000	469.769989	1683.895752	
58.000000	477.869995	14.286650	
59.000000	485.970001	6.973134	
60.000000	494.070007	0.001002	
61.000000	502.170013	0.041703	
62.000000	510.269989	-0.029427	
63.000000	518.369995	0.079854	
64.000000	526.469971	-0.035338	
65.000000	534.570007	-0.043932	
66.000000	542.669983	-0.068262	
67.000000	550.770020	0.022101	
68.000000	558.869995	-0.011994	
69.000000	566.969971	0.014188	
70.000000	575.070007	-0.005333	
71.000000	583.169983	0.019474	
72.000000	591.270020	0.043372	
73.000000	599.369995	-0.003816	
74.000000	607.469971	0.008718	
75.000000	663.489990	-0.003333	
76.000000	671.590027	-0.002596	
77.000000	679.690002	-0.003410	
78.000000	687.789978	0.004007	
79.000000	695.890015	-0.000174	
80.000000	703.989990	0.001436	
81.000000	712.090027	0.000583	
82.000000	720.190002	-0.000746	
83.000000	728.289978	0.039556	
84.000000	736.390015	0.002780	
85.000000	744.489990	0.001388	
86.000000	752.590027	-0.011637	
87.000000	760.690002	0.008506	
88.000000	768.789978	0.006686	
89.000000	776.890015	-0.004447	
90.000000	784.989990	0.001369	
91.000000	793.090027	-0.019396	
92.000000	801.190002	0.000706	
93.000000	809.289978	-0.002568	
94.000000	817.390015	-0.004511	
95.000000	825.489990	0.004010	
96.000000	833.590027	-0.002737	
97.000000	841.690002	0.001211	
98.000000	849.789978	0.000582	
99.000000	857.890015	-0.000133	
100.000000	865.989990	-0.000842	
101.000000	874.090027	-0.002929	
102.000000	882.190002	0.006363	
103.000000	890.289978	-0.003784	
104.000000	898.390015	0.040012	
105.000000	906.489990	-0.000411	
106.000000	914.590027	-0.001988	
107.000000	922.690002	-0.003483	
108.000000	930.789978	0.000029	
109.000000	938.890015	0.001157	
110.000000	946.989990	0.010536	
111.000000	955.090027	0.008636	
112.000000	963.190002	-0.001480	
113.000000	971.289978	0.005523	
114.000000	979.390015	0.001148	
115.000000	987.489990	0.002303	
116.000000	995.590027	0.008549	
117.000000	1003.690002	0.019678	
118.000000	1011.789978	0.045078	
119.000000	1019.890015	0.055656	
120.000000	1027.989990	0.128856	
121.000000	1036.089966	0.279161	
122.000000	1044.189941	0.421796	
123.000000	1052.290039	0.581653	
124.000000	1060.390015	0.712455	
125.000000	1068.489990	-0.389897	
126.000000	1076.589966	0.992532	
127.000000	1084.689941	1.090915	
128.000000	1092.790039	1.175197	
129.000000	1100.890015	1.279467	
130.000000	1108.989990	1.389240	
131.000000	1117.089966	1.533468	
132.000000	1125.189941	1.806619	
133.000000	1133.290039	1.314939	
134.000000	1141.390015	1.850641	
135.000000	1149.489990	2.065619	
136.000000	1157.589966	2.172230	
137.000000	1165.689941	2.273419	
138.000000	1173.790039	2.383960	
139.000000	1181.890015	2.459099	
140.000000	1189.989990	4.056318	
141.000000	1198.089966	2.755542	
142.000000	1206.189941	2.588553	
143.000000	1214.290039	3.132539	
144.000000	1222.390015	2.980880	
145.000000	1230.489990	3.144569	
146.000000	1238.589966	2.946182	
147.000000	1246.689941	3.614265	
148.000000	1254.790039	3.772578	
149.000000	1262.890015	3.654720	
150.000000	1270.989990	3.778105	
151.000000	1279.089966	3.963667	
152.000000	1287.189941	4.144070	
153.000000	1295.290039	4.273018	
154.000000	1303.390015	4.598198	
155.000000	1311.489990	4.446021	
156.000000	1319.589966	5.199013	
157.000000	1327.689941	4.963744	
158.000000	1335.790039	7.624977	
159.000000	1343.890015	5.634015	
160.000000	1351.989990	4.554439	
161.000000	1360.089966	5.105375	
162.000000	1368.189941	5.798861	
163.000000	1376.290039	5.497913	
164.000000	1384.390015	12.591943	
165.000000	1392.489990	6.211221	
166.000000	1400.589966	5.096838	
167.000000	1408.689941	6.043011	
168.000000	1416.790039	6.181049	
169.000000	1424.890015	9.469710	
170.000000	1432.989990	6.201869	
171.000000	1441.089966	3.623878	
172.000000	1449.189941	5.975904	
173.000000	1457.290039	6.842304	
174.000000	1465.390015	6.521593	
175.000000	1473.489990	7.081969	
176.000000	1481.589966	7.975440	
177.000000	1489.689941	8.166495	
178.000000	1497.790039	7.389932	
179.000000	1505.890015	7.942500	
180.000000	1513.989990	7.785498	
181.000000	1522.089966	7.930734	
182.000000	1530.189941	7.805473	
183.000000	1538.290039	7.832002	
184.000000	1546.390015	8.402108	
185.000000	1554.489990	8.518319	
186.000000	1562.589966	8.613279	
187.000000	1570.689941	10.185038	
188.000000	1578.790039	8.795536	
189.000000	1586.890015	8.903808	
190.000000	1594.989990	8.721917	
191.000000	1603.089966	9.388288	
192.000000	1611.189941	9.258559	
193.000000	1619.290039	9.357901	
194.000000	1627.390015	9.999491	
195.000000	1635.489990	9.445048	
196.000000	1672.650024	12.166550	
197.000000	1680.750000	9.326817	
198.000000	1688.849976	8.909538	
199.000000	1696.949951	8.795782	
200.000000	1705.050049	8.145046	
201.000000	1713.150024	9.120652	
202.000000	1721.250000	8.524031	
203.000000	1729.349976	8.357612	
204.000000	1737.449951	8.119780	
205.000000	1745.550049	8.411439	
206.000000	1753.650024	7.930911	
207.000000	1761.750000	7.666173	
208.000000	1769.849976	0.303425	
209.000000	1777.949951	7.831023	
210.000000	1786.050049	7.715584	
211.000000	1794.150024	7.240272	
212.000000	1802.250000	8.740997	
213.000000	1810.349976	7.357348	
214.000000	1818.449951	7.640425	
215.000000	1826.550049	7.201434	
216.000000	1834.650024	7.457532	
217.000000	1842.750000	7.090727	
218.000000	1850.849976	6.819734	
219.000000	1858.949951	6.862100	
220.000000	1867.050049	6.819137	
221.000000	1875.150024	7.560039	
222.000000	1883.250000	6.666540	
223.000000	1891.349976	6.482305	
224.000000	1899.449951	6.438193	
225.000000	1907.550049	6.203821	
226.000000	1915.650024	6.307039	
227.000000	1923.750000	6.272995	
228.000000	1931.849976	6.016928	
229.000000	1939.949951	5.199060	
230.000000	1948.050049	6.126848	
231.000000	1956.150024	6.037422	
232.000000	1964.250000	5.493279	
233.000000	1972.349976	5.955961	
234.000000	1980.449951	5.638249	
235.000000	1988.550049	8.710667	
236.000000	1996.650024	5.668840	
237.000000	2004.750000	5.343498	
238.000000	2012.849976	-1.622548	
239.000000	2020.949951	5.269671	
240.000000	2029.050049	5.166718	
241.000000	2037.150024	5.138856	
242.000000	2045.250000	3.399036	
243.000000	2053.350098	4.934591	
244.000000	2061.449951	4.795665	
245.000000	2069.550049	5.531982	
246.000000	2077.649902	4.919184	
247.000000	2085.750000	4.755363	
248.000000	2093.850098	4.323200	
249.000000	2101.949951	4.626103	
250.000000	2110.050049	4.236927	
251.000000	2118.149902	4.506548	
252.000000	2126.250000	4.543791	
253.000000	2134.350098	4.443430	
254.000000	2142.449951	4.309683	
255.000000	2150.550049	4.354447	
256.000000	2158.649902	4.327796	
257.000000	2166.750000	4.345475	
258.000000	2174.850098	4.237271	
259.000000	2182.949951	4.986617	
260.000000	2191.050049	4.116388	
261.000000	2199.149902	4.083597	
262.000000	2207.250000	4.078927	
263.000000	2215.350098	4.103838	
264.000000	2223.449951	3.348307	
265.000000	2231.550049	3.897391	
266.000000	2239.649902	3.789956	
267.000000	2247.750000	3.763778	
268.000000	2255.850098	4.258150	
269.000000	2263.949951	3.892834	
270.000000	2272.050049	3.654596	
271.000000	2280.149902	3.467393	
272.000000	2288.250000	3.659459	
273.000000	2296.350098	3.553719	
274.000000	2304.449951	3.532572	
275.000000	2312.550049	3.567051	
276.000000	2320.649902	3.490372	
277.000000	2328.750000	3.403350	
278.000000	2336.850098	3.395711	
279.000000	2344.949951	5.337058	
280.000000	2353.050049	3.329866	
281.000000	2361.149902	3.294126	
282.000000	2369.250000	3.225483	
283.000000	2377.350098	3.216293	
284.000000	2385.449951	3.075789	
285.000000	2393.550049	3.109430	
286.000000	2401.649902	3.084199	
287.000000	2409.750000	3.191963	
288.000000	2417.850098	3.182127	
289.000000	2425.949951	3.015963	
290.000000	2434.050049	2.986171	
291.000000	2442.149902	2.732286	
292.000000	2450.250000	2.624410	
293.000000	2458.350098	2.900953	
294.000000	2466.449951	2.878358	
295.000000	2474.550049	2.751635	
296.000000	2482.649902	2.845596	
297.000000	2490.750000	2.751400	
298.000000	2498.850098	2.793124	
299.000000	2506.949951	2.798213	
300.000000	2515.050049	2.641293	
301.000000	2523.149902	2.629228	
302.000000	2531.250000	2.596367	
303.000000	2539.350098	2.558546	
304.000000	2547.449951	2.666912	
305.000000	2555.550049	2.441953	
306.000000	2563.649902	2.526027	
307.000000	2571.750000	2.567616	
308.000000	2579.850098	2.731298	
309.000000	2587.949951	2.477779	
310.000000	2596.050049	2.421109	
311.000000	2604.149902	2.362805	
312.000000	2612.250000	2.376970	
313.000000	2620.350098	2.362768	
314.000000	2628.449951	2.344959	
315.000000	2636.550049	2.279854	
316.000000	2644.649902	2.269226	
317.000000	2652.750000	2.089841	
318.000000	2660.850098	2.228717	
319.000000	2668.949951	2.200881	
320.000000	2677.050049	2.229774	
321.000000	2685.149902	2.159296	
322.000000	2693.250000	2.131068	
323.000000	2701.350098	2.815190	
324.000000	2709.449951	2.122050	
325.000000	2717.550049	2.137136	
326.000000	2725.649902	2.086428	
327.000000	2733.750000	2.049165	
328.000000	2741.850098	2.020858	
329.000000	2749.949951	2.018827	
330.000000	2758.050049	2.004283	
331.000000	2766.149902	1.932175	
332.000000	2774.250000	1.951844	
333.000000	2782.350098	1.927311	
334.000000	2790.449951	1.922523	
335.000000	2798.550049	1.892782	
336.000000	2806.649902	1.844358	
337.000000	2814.750000	1.862501	
338.000000	2822.850098	1.861117	
339.000000	2830.949951	1.824330	
340.000000	2839.050049	1.810380	
341.000000	2847.149902	1.753768	
342.000000	2855.250000	1.777479	
343.000000	2863.350098	1.816759	
344.000000	2871.449951	1.856045	
345.000000	2879.550049	1.674980	
346.000000	2887.649902	1.700692	
347.000000	2895.750000	1.688000	
348.000000	2903.850098	1.668874	
349.000000	2911.949951	1.617214	
350.000000	2920.050049	1.644118	
351.000000	2928.149902	1.583384	
352.000000	2936.250000	1.609696	
353.000000	2944.350098	1.606485	
354.000000	2952.449951	1.595964	
355.000000	2960.550049	2.360244	
356.000000	2968.649902	1.552140	
357.000000	2976.750000	1.520856	
358.000000	2984.850098	1.525783	
359.000000	2992.949951	1.518093	
360.000000	3001.050049	1.504092	
361.000000	3009.149902	1.476994	
362.000000	3017.250000	1.502205	
363.000000	3025.350098	1.384324	
364.000000	3033.449951	1.478733	
365.000000	3041.550049	1.461029	
366.000000	3049.649902	1.410102	
367.000000	3063.790039	1.391114	
368.000000	3071.889893	1.379097	
369.000000	3079.989990	1.370112	
370.000000	3088.090088	1.362923	
371.000000	3096.189941	1.363601	
372.000000	3104.290039	1.352616	
373.000000	3112.389893	1.323034	
374.000000	3120.489990	1.329449	
375.000000	3128.590088	1.302100	
376.000000	3136.689941	1.280614	
377.000000	3144.790039	1.246985	
378.000000	3152.889893	1.270941	
379.000000	3160.989990	1.257033	
380.000000	3169.090088	1.223889	
381.000000	3177.189941	1.240192	
382.000000	3185.290039	1.222325	
383.000000	3193.389893	1.215166	
384.000000	3201.489990	1.214082	
385.000000	3209.590088	1.183857	
386.000000	3217.689941	1.166746	
387.000000	3225.790039	1.168549	
388.000000	3233.889893	1.182603	
389.000000	3241.989990	1.150643	
390.000000	3250.090088	1.145087	
391.000000	3258.189941	1.129594	
392.000000	3266.290039	1.118073	
393.000000	3274.389893	1.139971	
394.000000	3282.489990	1.142266	
395.000000	3290.590088	1.090964	
396.000000	3298.689941	1.076389	
397.000000	3306.790039	1.074502	
398.000000	3314.889893	1.071949	
399.000000	3322.989990	1.051538	
400.000000	3331.090088	1.045030	
401.000000	3339.189941	1.037030	
402.000000	3347.290039	1.167131	
403.000000	3355.389893	1.005363	
404.000000	3363.489990	1.003678	
405.000000	3371.590088	1.005232	
406.000000	3379.689941	0.998609	
407.000000	3387.790039	0.977778	
408.000000	3395.889893	1.045917	
409.000000	3403.989990	0.973309	
410.000000	3412.090088	0.963559	
411.000000	3420.189941	0.954163	
412.000000	3428.290039	0.942955	
413.000000	3436.389893	0.939548	
414.000000	3444.489990	0.932524	
415.000000	3452.590088	0.936682	
416.000000	3460.689941	0.917784	
417.000000	3468.790039	0.894419	
418.000000	3476.889893	0.863083	
419.000000	3484.989990	0.898992	
420.000000	3493.090088	0.730540	
421.000000	3501.189941	0.880720	
422.000000	3509.290039	0.887140	
423.000000	3517.389893	0.847582	
424.000000	3525.489990	0.884207	
425.000000	3533.590088	0.852558	
426.000000	3541.689941	0.838150	
427.000000	3549.790039	0.800894	
428.000000	3557.889893	0.870528	
429.000000	3565.989990	0.821535	
430.000000	3574.090088	0.824858	
431.000000	3582.189941	0.693979	
432.000000	3590.290039	0.687743	
433.000000	3598.389893	0.794523	
434.000000	3606.489990	0.788272	
435.000000	3614.590088	0.782885	
436.000000	3622.689941	0.745323	
437.000000	3630.790039	0.777018	
438.000000	3638.889893	0.770814	
439.000000	3646.989990	0.752714	
440.000000	3655.090088	0.748925	
441.000000	3663.189941	0.746274	
442.000000	3671.290039	0.651289	
443.000000	3679.389893	0.737461	
444.000000	3687.489990	0.725775	
445.000000	3695.590088	0.615027	
446.000000	3703.689941	0.804979	
447.000000	3711.790039	0.679753	
448.000000	3719.889893	0.703345	
449.000000	3727.989990	0.707924	
450.000000	3736.090088	0.692540	
451.000000	3744.189941	1.073638	
452.000000	3752.290039	0.696070	
453.000000	3782.750000	0.681154	
454.000000	3790.850098	0.631297	
455.000000	3798.949951	0.678990	
456.000000	3807.050049	0.613463	
457.000000	3815.149902	0.659788	
458.000000	3823.250000	0.634027	
459.000000	3831.350098	0.632887	
460.000000	3839.449951	0.663864	
461.000000	3847.550049	0.628083	
462.000000	3855.649902	0.623411	
463.000000	3863.750000	0.581334	
464.000000	3871.850098	0.610561	
465.000000	3879.949951	0.600883	
466.000000	3888.050049	0.597501	
467.000000	3896.149902	0.632259	
468.000000	3904.250000	0.585074	
469.000000	3912.350098	0.648379	
470.000000	3920.449951	0.558164	
471.000000	3928.550049	0.575052	
472.000000	3936.649902	0.569455	
473.000000	3944.750000	0.545142	
474.000000	3952.850098	0.561186	
475.000000	3960.949951	-6.936190	
476.000000	3969.050049	0.552738	
477.000000	3977.149902	0.573660	
478.000000	3985.250000	0.545773	
479.000000	3993.350098	0.556271	
480.000000	4001.449951	0.550170	
481.000000	4009.550049	0.529748	
482.000000	4017.649902	0.531415	
483.000000	4025.750000	0.526614	
484.000000	4033.850098	0.504806	
485.000000	4041.949951	0.534150	
486.000000	4050.050049	0.477814	
487.000000	4058.149902	0.533670	
488.000000	4066.250000	0.516203	
489.000000	4074.350098	0.501399	
490.000000	4082.449951	0.502486	
491.000000	4090.550049	0.503501	
492.000000	4098.649902	1.322058	
493.000000	4106.750000	0.523434	
494.000000	4114.850098	0.496757	
495.000000	4122.950195	0.494303	
496.000000	4131.049805	0.492923	
497.000000	4139.149902	0.476825	
498.000000	4147.250000	0.501773	
499.000000	4155.350098	0.462103	
500.000000	4163.450195	0.462165	
501.000000	4171.549805	0.443745	
502.000000	4179.649902	0.463022	
503.000000	4187.750000	0.435686	
504.000000	4195.850098	0.448702	
505.000000	4203.950195	0.448772	
506.000000	4212.049805	0.387916	
507.000000	4220.149902	0.442516	
508.000000	4228.250000	0.556446	
509.000000	4236.350098	0.428835	
510.000000	4244.450195	0.430381	
511.000000	4252.549805	0.431179	
512.000000	4260.649902	0.421784	
513.000000	4268.750000	0.404150	
514.000000	4276.850098	0.391382	
515.000000	4284.950195	0.413774	
516.000000	4293.049805	0.381456	
517.000000	4301.149902	0.372483	
518.000000	4309.250000	0.374410	
519.000000	4317.350098	0.404497	
520.000000	4325.450195	0.437344	
521.000000	4333.549805	0.407249	
522.000000	4341.649902	0.359580	
523.000000	4349.750000	0.389264	
524.000000	4357.850098	0.389936	
525.000000	4365.950195	0.393063	
526.000000	4374.049805	0.388326	
527.000000	4382.149902	0.373865	
528.000000	4390.250000	0.385287	
529.000000	4398.350098	0.358427	
530.000000	4406.450195	0.332521	
531.000000	4414.549805	0.413557	
532.000000	4422.649902	0.348754	
533.000000	4430.750000	0.401608	
534.000000	4438.850098	0.364241	
535.000000	4446.950195	0.357588	
536.000000	4455.049805	0.357051	
537.000000	4463.149902	0.445059	
538.000000	4471.250000	0.333258	
539.000000	4479.350098	0.352741	
540.000000	4487.450195	0.332528	
541.000000	4495.549805	0.223326	
542.000000	4503.649902	0.310804	
543.000000	4511.750000	0.346802	
544.000000	4519.850098	0.321334	
545.000000	4527.950195	0.339357	
546.000000	4536.049805	0.336733	
547.000000	4544.149902	0.327722	
548.000000	4552.250000	0.309612	
549.000000	4560.350098	0.356900	
550.000000	4568.450195	0.323552	
551.000000	4576.549805	0.333576	
552.000000	4584.649902	0.411670	
553.000000	4592.750000	0.267414	
554.000000	4600.850098	0.288875	
555.000000	4608.950195	0.302160	
556.000000	4617.049805	0.356733	
557.000000	4625.149902	0.307253	
558.000000	4633.250000	0.308776	
559.000000	4641.350098	0.308529	
560.000000	4649.450195	0.302040	
561.000000	4657.549805	0.266925	
562.000000	4665.649902	0.297166	
563.000000	4673.750000	1.123821	
564.000000	4681.850098	0.289533	
565.000000	4689.950195	0.272993	
566.000000	4698.049805	0.259175	
567.000000	4706.149902	0.303108	
568.000000	4714.250000	0.351494	
569.000000	4722.350098	0.269688	
570.000000	4730.450195	0.294422	
571.000000	4738.549805	0.285779	
572.000000	4746.649902	0.256491	
573.000000	4754.750000	0.284699	
574.000000	4762.850098	0.302395	
575.000000	4770.950195	0.333886	
576.000000	4779.049805	0.291464	
577.000000	4787.149902	0.225130	
578.000000	4795.250000	0.249104	
579.000000	4803.350098	0.236976	
580.000000	4811.450195	0.264529	
581.000000	4819.549805	0.288083	
582.000000	4827.649902	0.280716	
583.000000	4835.750000	0.271244	
584.000000	4843.850098	0.243464	
585.000000	4851.950195	0.246501	
586.000000	4860.049805	0.242655	
587.000000	4868.149902	0.214810	
588.000000	4876.250000	0.236761	
589.000000	4884.350098	0.400851	
590.000000	4892.450195	0.253373	
591.000000	4900.549805	0.256220	
592.000000	4908.649902	0.256871	
593.000000	4916.750000	0.238610	
594.000000	4924.850098	0.238502	
595.000000	4932.950195	0.247198	
596.000000	4941.049805	0.231021	
597.000000	4949.149902	0.050359	
598.000000	4957.250000	0.222369	
599.000000	4965.350098	0.231268	
600.000000	4973.450195	0.205024	
601.000000	4981.549805	0.226802	
602.000000	4989.649902	0.148946	
603.000000	4997.750000	0.326706	
604.000000	5005.850098	0.231910	
605.000000	5013.950195	0.210055	
606.000000	5022.049805	0.422576	
607.000000	5030.149902	0.234517	
608.000000	5038.250000	0.219125	
609.000000	5046.350098	0.228111	
610.000000	5054.450195	0.238861	
611.000000	5062.549805	0.223971	
612.000000	5070.649902	0.225692	
613.000000	5078.750000	0.228978	
614.000000	5086.850098	0.213747	
615.000000	5094.950195	0.423017	
616.000000	5103.049805	-159.311325	
617.000000	5111.149902	8.225364	
618.000000	5119.250000	26.140682	
619.000000	5127.350098	111.885437	
620.000000	5135.450195	-687.478149	
621.000000	5143.549805	-382.699921	
622.000000	5171.299805	-246.900589	
623.000000	5179.399902	47.962704	
624.000000	5194.399902	98.408577	
625.000000	5202.500000	-163.388382	
626.000000	5210.600098	3129.860107	
627.000000	5218.700195	-503.972656	
628.000000	5226.799805	-543.854797	
629.000000	5234.899902	-241.700241	
630.000000	5243.000000	-769.748047	
631.000000	5251.100098	-167.099380	
632.000000	5259.200195	192.907394	
633.000000	5267.299805	-384.011475	
634.000000	5275.399902	458.107697	
635.000000	5283.500000	-245.597733	
636.000000	5291.600098	-784.789063	
637.000000	5299.700195	-834.214539	
638.000000	5307.799805	-926.849182	
639.000000	5315.899902	841.576111	
640.000000	5324.000000	-1044.294922	
641.000000	5332.100098	-345.919678	
642.000000	5340.200195	-207.223053	
643.000000	5348.299805	-283.346619	
644.000000	5356.399902	-507.102386	
645.000000	5364.500000	-348.704590	
646.000000	5382.200195	-157.449463	
647.000000	5390.299805	-740.738403	
648.000000	5413.310059	-816.246216	
649.000000	5421.410156	288.840942	
650.000000	5429.509766	-533.213684	
651.000000	5437.609863	-1173.414063	
652.000000	5445.709961	-566.526978	
653.000000	5453.810059	-316.868408	
654.000000	5461.910156	-1022.835999	
655.000000	5470.009766	-688.365723	
656.000000	5478.109863	-12.808960	
657.000000	5486.209961	-306.256226	
658.000000	5494.310059	-584.560486	
659.000000	5502.410156	-324.507599	
660.000000	5510.509766	-1328.417603	
661.000000	5518.609863	-175.896729	
662.000000	5526.709961	273.849091	
663.000000	5534.810059	1599.548462	
664.000000	5542.910156	1.#INF00	
665.000000	5551.009766	52.153694	
666.000000	5559.109863	-412.721313	
667.000000	5567.209961	-1775.475464	
668.000000	5575.310059	-609.693848	
669.000000	5583.410156	-1121.650635	
670.000000	5591.509766	-1.#INF00	
671.000000	5599.609863	16.964306	
672.000000	5607.709961	-24.468996	
673.000000	5615.810059	-191.403152	
674.000000	5623.910156	-682.008301	
675.000000	5632.009766	-910.278198	
676.000000	5640.109863	1336.876221	
677.000000	5648.209961	-74.586876	
678.000000	5656.310059	-1.#INF00	
679.000000	5664.410156	824.599121	
680.000000	5672.509766	-1394.912598	
681.000000	5680.609863	8.849113	
682.000000	5688.709961	1777.646729	
683.000000	5696.810059	718.400513	
684.000000	5704.910156	907.939697	
685.000000	5713.009766	-92.019127	
686.000000	5721.109863	-74.784027	
687.000000	5729.209961	1699.875488	
688.000000	5737.310059	280.317993	
689.000000	5745.410156	283.766357	
690.000000	5753.509766	806.762329	
691.000000	5761.609863	1140.834839	
692.000000	5769.709961	504.950775	
693.000000	5777.810059	1.#INF00	
694.000000	5785.910156	372.702362	
695.000000	5794.009766	1.#INF00	
696.000000	5802.109863	-67.343201	
697.000000	5810.209961	-564.530029	
698.000000	5818.310059	-83.836723	
699.000000	5826.410156	-468.225128	
700.000000	5834.509766	506.831299	
701.000000	5842.609863	217.664505	
702.000000	5850.709961	526.037354	
703.000000	5858.810059	-60.405636	
704.000000	5866.910156	-0.005164	
705.000000	5875.009766	0.015195	
706.000000	5883.109863	0.022580	
707.000000	5920.410156	-0.001564	
708.000000	5928.509766	-0.040075	
709.000000	5936.609863	0.221506	
710.000000	5944.709961	-0.334117	
711.000000	5952.810059	0.047680	
712.000000	5960.910156	0.166575	
713.000000	5969.009766	0.028584	
714.000000	5977.109863	0.022575	
715.000000	6008.419922	0.019445	
716.000000	6016.520020	0.015606	
717.000000	6024.620117	0.039163	
718.000000	6057.709961	-0.003400	
719.000000	6065.810059	0.026123	
720.000000	6073.910156	0.027528	
721.000000	6082.009766	-0.052099	
722.000000	6090.109863	0.009711	
723.000000	6098.209961	0.018653	
724.000000	6106.310059	0.017659	
725.000000	6114.410156	0.006325	
726.000000	6122.509766	-0.096347	
727.000000	6130.609863	0.012165	
