 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
48.000000 	357.450012 	-1.344617 	95.155556 	1.381402 	2.086112 	-1.#IND00 	-1.#IND00 	
49.000000 	357.829987 	-1.283680 	95.080559 	1.453140 	2.230902 	-1.#IND00 	-1.#IND00 	
50.000000 	358.209991 	-1.272395 	95.108330 	1.498188 	2.193750 	-1.#IND00 	-1.#IND00 	
51.000000 	358.579987 	-1.327951 	95.401390 	1.505677 	2.163717 	-1.#IND00 	-1.#IND00 	
52.000000 	358.959991 	-1.214150 	95.318054 	1.541184 	2.167361 	-1.#IND00 	-1.#IND00 	
53.000000 	359.339996 	-1.206598 	95.459724 	1.529409 	2.141319 	-1.#IND00 	-1.#IND00 	
54.000000 	359.709991 	-1.350608 	95.463890 	1.423612 	2.063195 	-1.#IND00 	-1.#IND00 	
55.000000 	360.089996 	-1.412500 	95.662498 	1.361413 	2.029167 	-1.#IND00 	-1.#IND00 	
56.000000 	360.470001 	-1.330470 	98.312500 	1.711412 	2.332812 	-1.#IND00 	-1.#IND00 	
57.000000 	360.850006 	-1.330382 	97.519447 	1.494142 	2.085243 	-1.#IND00 	-1.#IND00 	
58.000000 	361.220001 	-1.318055 	96.255554 	1.424336 	2.107986 	-1.#IND00 	-1.#IND00 	
59.000000 	361.600006 	-1.329339 	96.015274 	1.487441 	2.070661 	-1.#IND00 	-1.#IND00 	
60.000000 	361.980011 	-1.375001 	96.650002 	1.488044 	2.136979 	-1.#IND00 	-1.#IND00 	
61.000000 	362.350006 	-1.217362 	96.323608 	1.622584 	2.230555 	-1.#IND00 	-1.#IND00 	
62.000000 	362.730011 	-1.301737 	96.211113 	1.420955 	2.097742 	-1.#IND00 	-1.#IND00 	
63.000000 	363.109985 	-1.294096 	96.122223 	1.460930 	2.144965 	-1.#IND00 	-1.#IND00 	
64.000000 	363.480011 	-1.210155 	95.875000 	1.559784 	2.277606 	-1.#IND00 	-1.#IND00 	
65.000000 	363.859985 	-1.164671 	95.801392 	1.535568 	2.261632 	-1.#IND00 	-1.#IND00 	
66.000000 	364.239990 	-1.171094 	96.025002 	1.539129 	2.281771 	-1.#IND00 	-1.#IND00 	
67.000000 	364.609985 	-1.313367 	96.293053 	1.412923 	2.214237 	-1.#IND00 	-1.#IND00 	
68.000000 	364.989990 	-1.237501 	96.487503 	1.489673 	2.270312 	-1.#IND00 	-1.#IND00 	
69.000000 	365.359985 	-1.160937 	96.287498 	1.536957 	2.265104 	-1.#IND00 	-1.#IND00 	
70.000000 	365.739990 	-1.140365 	96.283333 	1.538949 	2.217188 	-1.#IND00 	-1.#IND00 	
71.000000 	366.119995 	-1.088801 	96.283333 	1.625363 	2.375000 	-1.#IND00 	-1.#IND00 	
72.000000 	366.489990 	-1.079948 	96.179169 	1.612138 	2.252603 	-1.#IND00 	-1.#IND00 	
73.000000 	366.869995 	-1.157985 	96.073608 	1.660629 	2.260244 	-1.#IND00 	-1.#IND00 	
74.000000 	367.250000 	-1.081771 	96.245834 	1.740037 	2.384376 	-1.#IND00 	-1.#IND00 	
75.000000 	367.619995 	-1.125348 	96.247223 	1.703865 	2.276216 	-1.#IND00 	-1.#IND00 	
76.000000 	368.000000 	-1.036024 	96.218056 	1.771075 	2.384029 	-1.#IND00 	-1.#IND00 	
77.000000 	368.369995 	-1.013020 	96.383331 	1.722101 	2.404688 	-1.#IND00 	-1.#IND00 	
78.000000 	368.750000 	-0.939237 	96.461113 	1.761715 	2.438889 	-1.#IND00 	-1.#IND00 	
79.000000 	369.130005 	-0.988889 	96.726387 	1.766002 	2.471529 	-1.#IND00 	-1.#IND00 	
80.000000 	369.500000 	-1.018924 	96.986115 	1.743236 	2.488369 	-1.#IND00 	-1.#IND00 	
81.000000 	369.880005 	-0.858073 	96.554169 	1.765942 	2.476563 	-1.#IND00 	-1.#IND00 	
82.000000 	370.260010 	-0.871788 	96.319443 	1.783816 	2.537848 	-1.#IND00 	-1.#IND00 	
83.000000 	370.630005 	-1.023436 	96.599998 	1.683696 	2.432292 	-1.#IND00 	-1.#IND00 	
84.000000 	371.010010 	-0.853126 	96.550003 	1.773370 	2.531251 	-1.#IND00 	-1.#IND00 	
85.000000 	371.380005 	-0.766405 	96.324997 	1.876631 	2.626042 	-1.#IND00 	-1.#IND00 	
86.000000 	371.760010 	-0.770833 	96.445831 	1.961233 	2.642190 	-1.#IND00 	-1.#IND00 	
87.000000 	372.130005 	-0.827084 	96.483337 	1.886775 	2.596875 	-1.#IND00 	-1.#IND00 	
88.000000 	372.510010 	-0.969444 	96.531944 	1.837078 	2.577432 	-1.#IND00 	-1.#IND00 	
89.000000 	372.890015 	-0.888020 	96.458336 	1.840037 	2.592188 	-1.#IND00 	-1.#IND00 	
90.000000 	373.260010 	-0.860330 	96.711113 	1.889433 	2.534201 	-1.#IND00 	-1.#IND00 	
