        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-0.167193	
1.000000	8.100000	-0.166945	
2.000000	16.900000	-0.166855	
3.000000	68.510002	-0.166622	
4.000000	76.610001	-0.167039	
5.000000	84.709999	-0.166756	
6.000000	92.809998	-0.166782	
7.000000	100.910004	-0.166886	
8.000000	109.010002	-0.166875	
9.000000	117.110001	-0.166955	
10.000000	125.209999	-0.167066	
11.000000	133.309998	-0.167074	
12.000000	141.410004	-0.167466	
13.000000	149.509995	-0.166707	
14.000000	157.610001	-0.167150	
15.000000	165.710007	-0.167295	
16.000000	173.809998	-0.167064	
17.000000	181.910004	-0.167261	
18.000000	190.009995	-0.166920	
19.000000	198.110001	-0.167082	
20.000000	206.210007	-0.167203	
21.000000	214.309998	-0.167300	
22.000000	222.410004	-0.167266	
23.000000	230.509995	-0.167408	
24.000000	238.610001	-0.167409	
25.000000	246.710007	-0.167282	
26.000000	254.809998	-0.167254	
27.000000	262.910004	-0.167189	
28.000000	271.010010	-0.167292	
29.000000	279.109985	-0.167408	
30.000000	287.209991	-0.167091	
31.000000	303.200012	-0.167146	
32.000000	311.299988	-0.167291	
33.000000	319.399994	-0.167136	
34.000000	327.500000	-0.167421	
35.000000	335.600006	-0.167470	
36.000000	343.700012	-0.167289	
37.000000	351.799988	-0.167626	
38.000000	359.899994	-0.167505	
39.000000	368.000000	-0.167607	
40.000000	381.010010	-0.167611	
41.000000	389.109985	-0.167588	
42.000000	397.209991	-0.167461	
43.000000	405.309998	-0.167534	
44.000000	420.829987	-0.167635	
45.000000	428.929993	-0.167734	
46.000000	437.029999	-0.167576	
47.000000	445.130005	-0.167566	
48.000000	453.230011	-0.167551	
49.000000	461.329987	-0.167825	
50.000000	469.429993	-0.167753	
51.000000	477.529999	-0.167563	
52.000000	485.630005	-0.167818	
53.000000	493.730011	-0.167626	
54.000000	501.829987	-0.167721	
55.000000	509.929993	-0.167797	
56.000000	518.030029	-0.167896	
57.000000	526.130005	-0.167959	
58.000000	534.229980	-0.167781	
59.000000	542.330017	-0.167767	
60.000000	550.429993	-0.167770	
61.000000	558.530029	-0.168132	
62.000000	566.630005	-0.167870	
63.000000	574.729980	-0.168077	
64.000000	582.830017	-0.167905	
65.000000	590.929993	-0.167862	
