        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-13.430575	
1.000000	8.100000	-13.510479	
2.000000	16.900000	-13.556934	
3.000000	68.510002	-13.825749	
4.000000	76.610001	-13.844548	
5.000000	84.709999	-13.913740	
6.000000	92.809998	-13.946562	
7.000000	100.910004	-13.961146	
8.000000	109.010002	-13.965676	
9.000000	117.110001	-14.000617	
10.000000	125.209999	-13.991104	
11.000000	133.309998	-14.042355	
12.000000	141.410004	-14.052309	
13.000000	149.509995	-14.120387	
14.000000	157.610001	-14.110880	
15.000000	165.710007	-14.122667	
16.000000	173.809998	-14.126698	
17.000000	181.910004	-14.169035	
18.000000	190.009995	-14.202703	
19.000000	198.110001	-14.218761	
20.000000	206.210007	-14.230278	
21.000000	214.309998	-14.209103	
22.000000	222.410004	-14.240368	
23.000000	230.509995	-14.278676	
24.000000	238.610001	-14.276916	
25.000000	246.710007	-14.320580	
26.000000	254.809998	-14.335659	
27.000000	262.910004	-14.363249	
28.000000	271.010010	-14.366740	
29.000000	279.109985	-14.366983	
30.000000	287.209991	-14.409204	
31.000000	303.200012	-14.442753	
32.000000	311.299988	-14.439970	
33.000000	319.399994	-14.445194	
34.000000	327.500000	-14.455895	
35.000000	335.600006	-14.450077	
36.000000	343.700012	-14.498645	
37.000000	351.799988	-14.468218	
38.000000	359.899994	-14.474577	
39.000000	368.000000	-14.486139	
40.000000	381.010010	-14.512528	
41.000000	389.109985	-14.526439	
42.000000	397.209991	-14.537666	
43.000000	405.309998	-14.546655	
44.000000	420.829987	-14.561706	
45.000000	428.929993	-14.580597	
46.000000	437.029999	-14.578046	
47.000000	445.130005	-14.607415	
48.000000	453.230011	-14.595628	
49.000000	461.329987	-14.604178	
50.000000	469.429993	-14.572694	
51.000000	477.529999	-14.612917	
52.000000	485.630005	-14.609957	
53.000000	493.730011	-14.626645	
54.000000	501.829987	-14.624176	
55.000000	509.929993	-14.631150	
56.000000	518.030029	-14.607158	
57.000000	526.130005	-14.633683	
58.000000	534.229980	-14.670416	
59.000000	542.330017	-14.647837	
60.000000	550.429993	-14.684377	
61.000000	558.530029	-14.639638	
62.000000	566.630005	-14.665953	
63.000000	574.729980	-14.669224	
64.000000	582.830017	-14.692206	
65.000000	590.929993	-14.704000	
66.000000	599.030029	-14.686882	
67.000000	607.130005	-14.699240	
68.000000	615.229980	-14.711691	
69.000000	623.330017	-14.708656	
70.000000	631.429993	-14.715395	
