        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-32.468018	
1.000000	8.100000	-33.539883	
2.000000	16.200001	-34.599377	
3.000000	24.299999	-35.815651	
4.000000	32.400002	-37.388748	
5.000000	40.500000	-38.686195	
6.000000	48.599998	-39.984467	
7.000000	56.700001	-40.378040	
8.000000	64.800003	-42.734230	
9.000000	72.900002	-43.406322	
10.000000	81.000000	-44.147392	
11.000000	89.099998	-45.663212	
12.000000	97.199997	-46.505798	
13.000000	105.300003	-46.065319	
14.000000	113.400002	-47.591011	
15.000000	121.500000	-48.262310	
16.000000	129.600006	-48.970680	
17.000000	137.699997	-50.325733	
18.000000	145.800003	-51.034035	
19.000000	153.899994	-52.855152	
20.000000	162.000000	-51.894569	
21.000000	170.100006	-52.820892	
22.000000	178.199997	-53.687931	
23.000000	186.300003	-54.716999	
24.000000	194.399994	-56.679310	
25.000000	202.500000	-57.961849	
26.000000	210.600006	-58.013409	
27.000000	218.699997	-58.616493	
28.000000	226.800003	-59.087883	
29.000000	237.380005	-60.573505	
30.000000	245.479996	-61.376652	
31.000000	257.220001	-62.632965	
32.000000	265.320007	-63.668354	
33.000000	273.420013	-64.504166	
34.000000	281.519989	-65.660133	
35.000000	289.619995	-67.326805	
36.000000	297.720001	-68.553322	
37.000000	305.820007	-73.583267	
38.000000	313.920013	-78.790024	
39.000000	322.019989	-79.720001	
40.000000	330.119995	-84.042809	
41.000000	338.220001	-83.305511	
42.000000	346.320007	-90.059998	
43.000000	354.420013	-89.788506	
44.000000	362.519989	-86.846397	
45.000000	370.619995	-88.910873	
46.000000	378.720001	-102.455215	
47.000000	386.820007	-111.916801	
48.000000	394.920013	-104.223587	
49.000000	403.019989	-102.980759	
50.000000	411.119995	-121.281113	
51.000000	419.220001	-140.748123	
52.000000	427.320007	-146.246033	
53.000000	435.420013	-132.958893	
54.000000	443.519989	-130.537537	
55.000000	453.570007	-350.233826	
56.000000	461.670013	-126.909775	
57.000000	469.769989	3202.227539	
58.000000	477.869995	28.912331	
59.000000	485.970001	14.993938	
60.000000	494.070007	-0.033468	
61.000000	502.170013	0.055663	
62.000000	510.269989	-0.076776	
63.000000	518.369995	0.072101	
64.000000	526.469971	-0.049641	
65.000000	534.570007	0.047330	
66.000000	542.669983	-0.031379	
67.000000	550.770020	0.026744	
68.000000	558.869995	-0.015016	
69.000000	566.969971	0.011033	
70.000000	575.070007	-0.003256	
71.000000	583.169983	0.002927	
72.000000	591.270020	0.004784	
73.000000	599.369995	-0.002485	
74.000000	607.469971	0.008504	
75.000000	663.489990	-0.002047	
76.000000	671.590027	0.000312	
77.000000	679.690002	-0.001681	
78.000000	687.789978	0.000965	
79.000000	695.890015	-0.000362	
80.000000	703.989990	0.000114	
81.000000	712.090027	0.000813	
82.000000	720.190002	0.000116	
83.000000	728.289978	0.000502	
84.000000	736.390015	0.000259	
85.000000	744.489990	0.000916	
86.000000	752.590027	0.000930	
87.000000	760.690002	0.001194	
88.000000	768.789978	0.000016	
89.000000	776.890015	-0.002145	
90.000000	784.989990	-0.000398	
91.000000	793.090027	0.000284	
92.000000	801.190002	0.000997	
93.000000	809.289978	-0.001790	
94.000000	817.390015	-0.001577	
95.000000	825.489990	-0.001414	
96.000000	833.590027	-0.001134	
97.000000	841.690002	-0.001789	
98.000000	849.789978	-0.001327	
99.000000	857.890015	-0.002404	
100.000000	865.989990	-0.002181	
101.000000	874.090027	-0.001887	
102.000000	882.190002	-0.002301	
103.000000	890.289978	-0.002595	
104.000000	898.390015	-0.001819	
105.000000	906.489990	-0.001286	
106.000000	914.590027	-0.001894	
107.000000	922.690002	-0.002180	
108.000000	930.789978	-0.001222	
109.000000	938.890015	-0.000839	
110.000000	946.989990	-0.000652	
111.000000	955.090027	-0.000266	
112.000000	963.190002	-0.000582	
113.000000	971.289978	0.000617	
114.000000	979.390015	0.000222	
115.000000	987.489990	0.001520	
116.000000	995.590027	0.002977	
117.000000	1003.690002	0.005060	
118.000000	1011.789978	0.011182	
119.000000	1019.890015	0.047951	
120.000000	1027.989990	0.154408	
121.000000	1036.089966	0.274080	
122.000000	1044.189941	0.409065	
123.000000	1052.290039	0.578461	
124.000000	1060.390015	0.695309	
125.000000	1068.489990	0.763547	
126.000000	1076.589966	0.898199	
127.000000	1084.689941	0.994642	
128.000000	1092.790039	1.108178	
129.000000	1100.890015	1.223890	
130.000000	1108.989990	1.352867	
131.000000	1117.089966	1.509910	
132.000000	1125.189941	1.585170	
133.000000	1133.290039	1.669734	
134.000000	1141.390015	1.791473	
135.000000	1149.489990	1.912303	
136.000000	1157.589966	2.027381	
137.000000	1165.689941	2.157061	
138.000000	1173.790039	2.246385	
139.000000	1181.890015	2.366942	
140.000000	1189.989990	2.506428	
141.000000	1198.089966	2.655339	
142.000000	1206.189941	2.739727	
143.000000	1214.290039	2.822363	
144.000000	1222.390015	2.931654	
145.000000	1230.489990	3.012181	
146.000000	1238.589966	3.128433	
147.000000	1246.689941	3.302916	
148.000000	1254.790039	3.423062	
149.000000	1262.890015	3.455767	
150.000000	1270.989990	3.621724	
151.000000	1279.089966	3.742670	
152.000000	1287.189941	3.790155	
153.000000	1295.290039	3.925025	
154.000000	1303.390015	4.051643	
155.000000	1311.489990	4.223098	
156.000000	1319.589966	4.302000	
157.000000	1327.689941	4.353560	
158.000000	1335.790039	4.493642	
159.000000	1343.890015	4.615973	
160.000000	1351.989990	4.707993	
161.000000	1360.089966	4.782053	
162.000000	1368.189941	4.848781	
163.000000	1376.290039	4.975949	
164.000000	1384.390015	5.077782	
165.000000	1392.489990	5.265327	
166.000000	1400.589966	5.345716	
167.000000	1408.689941	5.428977	
168.000000	1416.790039	5.571364	
169.000000	1424.890015	5.685484	
170.000000	1432.989990	5.726814	
171.000000	1441.089966	5.870189	
172.000000	1449.189941	6.000930	
173.000000	1457.290039	6.068161	
174.000000	1465.390015	6.172250	
175.000000	1473.489990	6.315984	
