        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-17.178164	
1.000000	8.100000	-17.284161	
2.000000	16.900000	-17.358122	
3.000000	68.510002	-17.719759	
4.000000	76.610001	-17.743143	
5.000000	84.709999	-17.826050	
6.000000	92.809998	-17.891914	
7.000000	100.910004	-17.891047	
8.000000	109.010002	-17.904955	
9.000000	117.110001	-17.959988	
10.000000	125.209999	-17.925093	
11.000000	133.309998	-17.988594	
12.000000	141.410004	-18.007111	
13.000000	149.509995	-18.109835	
14.000000	157.610001	-18.107204	
15.000000	165.710007	-18.104330	
16.000000	173.809998	-18.117954	
17.000000	181.910004	-18.173691	
18.000000	190.009995	-18.229504	
19.000000	198.110001	-18.225845	
20.000000	206.210007	-18.258623	
21.000000	214.309998	-18.225189	
22.000000	222.410004	-18.262726	
23.000000	230.509995	-18.317242	
24.000000	238.610001	-18.311512	
25.000000	246.710007	-18.362505	
26.000000	254.809998	-18.384678	
27.000000	262.910004	-18.430492	
28.000000	271.010010	-18.433340	
29.000000	279.109985	-18.417677	
30.000000	287.209991	-18.478542	
31.000000	303.200012	-18.517756	
32.000000	311.299988	-18.518877	
33.000000	319.399994	-18.522926	
34.000000	327.500000	-18.532999	
35.000000	335.600006	-18.533550	
36.000000	343.700012	-18.606165	
37.000000	351.799988	-18.556919	
38.000000	359.899994	-18.569448	
39.000000	368.000000	-18.581795	
40.000000	381.010010	-18.625929	
41.000000	389.109985	-18.626097	
42.000000	397.209991	-18.651415	
43.000000	405.309998	-18.655104	
44.000000	420.829987	-18.680204	
45.000000	428.929993	-18.707842	
46.000000	437.029999	-18.701385	
47.000000	445.130005	-18.737919	
48.000000	453.230011	-18.712420	
49.000000	461.329987	-18.737068	
50.000000	469.429993	-18.697239	
51.000000	477.529999	-18.758631	
52.000000	485.630005	-18.736097	
53.000000	493.730011	-18.743616	
54.000000	501.829987	-18.755184	
55.000000	509.929993	-18.765823	
56.000000	518.030029	-18.729113	
57.000000	526.130005	-18.766716	
58.000000	534.229980	-18.810154	
59.000000	542.330017	-18.772123	
60.000000	550.429993	-18.830538	
61.000000	558.530029	-18.770008	
62.000000	566.630005	-18.795584	
63.000000	574.729980	-18.812115	
64.000000	582.830017	-18.839748	
65.000000	590.929993	-18.859776	
66.000000	599.030029	-18.824463	
67.000000	607.130005	-18.844713	
68.000000	615.229980	-18.845444	
69.000000	623.330017	-18.840445	
70.000000	631.429993	-18.849005	
71.000000	639.530029	-18.895447	
72.000000	647.630005	-18.863300	
73.000000	655.729980	-18.882204	
74.000000	663.830017	-18.881413	
75.000000	671.929993	-18.956057	
76.000000	680.030029	-18.899673	
77.000000	688.130005	-18.876995	
78.000000	696.229980	-18.892792	
79.000000	704.330017	-18.945766	
80.000000	713.059998	-18.919441	
81.000000	721.169983	-18.952564	
82.000000	730.219971	-18.948805	
83.000000	738.320007	-18.928320	
84.000000	746.419983	-18.888193	
85.000000	754.580017	-18.915649	
86.000000	762.679993	-18.879877	
87.000000	770.780029	-19.025476	
88.000000	778.880005	-23.832998	
89.000000	786.979980	86.993141	
90.000000	795.080017	2.752346	
91.000000	803.179993	0.457954	
92.000000	811.280029	-0.214648	
93.000000	819.380005	0.159339	
94.000000	827.479980	0.584408	
95.000000	835.580017	0.002972	
