 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
0.000000 	339.320007 	0.000000 	0.000000 	0.000000 	0.000000 	-1.#IND00 	-1.#IND00 	
64.000000 	363.480011 	23.137625 	93.753128 	4.382671 	3.232202 	1.663802 	1.968297 	
65.000000 	363.859985 	23.258917 	93.608330 	4.455303 	3.228623 	1.652593 	1.974633 	
66.000000 	364.239990 	23.424707 	93.707291 	4.592141 	3.395970 	1.629445 	1.931202 	
67.000000 	364.609985 	23.360250 	93.831253 	4.592045 	3.428532 	1.626710 	1.918903 	
68.000000 	364.989990 	23.460293 	94.048958 	4.630020 	3.428216 	1.622748 	1.923270 	
69.000000 	365.359985 	23.344625 	93.921875 	4.541761 	3.378668 	1.637052 	1.932885 	
70.000000 	365.739990 	23.378166 	93.958336 	4.494508 	3.380254 	1.648946 	1.933852 	
71.000000 	366.119995 	23.282917 	94.095833 	4.502462 	3.325362 	1.643095 	1.946141 	
72.000000 	366.489990 	23.291374 	93.965622 	4.460511 	3.291983 	1.652820 	1.956593 	
73.000000 	366.869995 	23.362333 	93.847916 	4.533333 	3.341757 	1.639668 	1.944628 	
74.000000 	367.250000 	23.500168 	94.033333 	4.637123 	3.404710 	1.622913 	1.931848 	
75.000000 	367.619995 	23.503250 	93.906250 	4.694887 	3.470380 	1.610665 	1.912875 	
76.000000 	368.000000 	23.437332 	94.091667 	4.507764 	3.367028 	1.648529 	1.940300 	
77.000000 	368.369995 	23.356792 	94.317711 	4.469792 	3.312182 	1.653546 	1.953280 	
78.000000 	368.750000 	23.423626 	94.346878 	4.551989 	3.375952 	1.638181 	1.937068 	
79.000000 	369.130005 	23.539417 	94.520836 	4.623485 	3.505253 	1.627528 	1.904414 	
80.000000 	369.500000 	23.405916 	94.758331 	4.634849 	3.450362 	1.619385 	1.914510 	
81.000000 	369.880005 	23.273792 	94.436455 	4.588542 	3.357564 	1.623765 	1.936112 	
82.000000 	370.260010 	23.448917 	94.214584 	4.584280 	3.376178 	1.632191 	1.938080 	
83.000000 	370.630005 	23.448416 	94.339584 	4.591665 	3.489763 	1.630560 	1.904969 	
84.000000 	371.010010 	23.446459 	94.369789 	4.607481 	3.485100 	1.627038 	1.906223 	
85.000000 	371.380005 	23.478001 	94.256248 	4.596591 	3.560055 	1.630749 	1.886288 	
86.000000 	371.760010 	23.476126 	94.521873 	4.523580 	3.445516 	1.646680 	1.918910 	
87.000000 	372.130005 	23.402416 	94.445831 	4.573485 	3.492754 	1.632564 	1.902149 	
88.000000 	372.510010 	23.549252 	94.300003 	4.707386 	3.603806 	1.609961 	1.877104 	
89.000000 	372.890015 	23.576916 	94.195831 	4.783712 	3.617753 	1.595051 	1.874415 	
90.000000 	373.260010 	23.737959 	94.376038 	4.837595 	3.628850 	1.590658 	1.878160 	
91.000000 	373.640015 	23.747999 	94.518753 	4.829545 	3.621466 	1.592746 	1.880619 	
