 Number	Time[sec]	Conduct[uS]	TempWater[C]
    164	  1335.08	      18.43	      22.70	
    165	  1343.18	      18.44	      22.70	
    166	  1351.28	      18.45	      22.70	
    167	  1359.38	      18.46	      22.70	
    168	  1367.48	      18.48	      22.70	
    169	  1375.58	      18.49	      22.70	
    170	  1383.68	      18.50	      22.70	
    171	  1391.78	      18.53	      22.70	
    172	  1399.88	      18.54	      22.70	
    173	  1407.98	      18.55	      22.70	
    174	  1416.08	      18.58	      22.70	
    175	  1424.18	      18.59	      22.70	
    176	  1432.28	      18.59	      22.70	
    177	  1440.38	      18.61	      22.70	
    178	  1448.48	      18.62	      22.70	
    179	  1456.58	      18.64	      22.70	
    180	  1464.68	      18.65	      22.70	
    181	  1472.78	      18.67	      22.70	
    182	  1480.88	      18.69	      22.70	
    183	  1488.98	      18.69	      22.70	
    184	  1497.08	      18.71	      22.70	
    185	  1505.18	      18.72	      22.80	
    186	  1513.28	      18.73	      22.70	
    187	  1521.38	      18.75	      22.80	
    188	  1529.48	      18.76	      22.80	
    189	  1537.58	      18.78	      22.80	
    190	  1545.68	      18.79	      22.80	
    191	  1553.78	      18.81	      22.80	
    192	  1561.88	      18.83	      22.80	
    193	  1569.98	      18.84	      22.80	
    194	  1578.08	      18.85	      22.80	
    195	  1586.18	      18.86	      22.80	
    196	  1594.28	      18.87	      22.80	
    197	  1602.38	      18.87	      22.80	
    198	  1610.48	      18.89	      22.80	
    199	  1618.58	      18.89	      22.80	
    200	  1626.68	      18.89	      22.80	
    201	  1634.78	      18.90	      22.80	
    202	  1642.88	      18.90	      22.80	
    203	  1650.98	      18.86	      22.80	
    204	  1659.08	      18.87	      22.80	
    205	  1667.18	      18.86	      22.80	
    206	  1675.28	      18.85	      22.80	
    207	  1683.38	      18.84	      22.80	
    208	  1691.48	      18.84	      22.80	
    209	  1699.58	      18.83	      22.80	
    210	  1707.68	      18.82	      22.80	
    211	  1715.78	      18.81	      22.80	
    212	  1723.88	      18.80	      22.80	
    213	  1731.98	      18.80	      22.80	
    214	  1740.08	      18.79	      22.80	
    215	  1748.18	      18.78	      22.80	
    216	  1756.28	      18.77	      22.80	
    217	  1764.38	      18.77	      22.80	
    218	  1772.48	      18.75	      22.80	
    219	  1780.58	      18.75	      22.80	
    220	  1788.68	      18.74	      22.80	
    221	  1796.78	      18.73	      22.80	
    222	  1804.88	      18.72	      22.80	
    223	  1812.98	      18.72	      22.80	
    224	  1821.08	      18.71	      22.80	
    225	  1829.18	      18.70	      22.80	
    226	  1837.28	      18.69	      22.80	
    227	  1845.38	      18.68	      22.80	
    228	  1853.48	      18.68	      22.80	
    229	  1861.58	      18.67	      22.80	
    230	  1869.68	      18.66	      22.80	
    231	  1877.78	      18.65	      22.80	
    232	  1885.88	      18.64	      22.80	
    233	  1893.98	      18.64	      22.80	
    234	  1902.08	      18.63	      22.80	
    235	  1910.18	      18.62	      22.80	
    236	  1918.28	      18.62	      22.80	
    237	  1926.38	      18.61	      22.80	
    238	  1934.48	      18.60	      22.80	
    239	  1942.58	      18.60	      22.80	
    240	  1950.68	      18.59	      22.80	
    241	  1958.78	      18.59	      22.80	
    242	  1966.88	      18.58	      22.80	
    243	  1974.98	      18.57	      22.80	
    244	  1983.08	      18.57	      22.80	
    245	  1991.18	      18.56	      22.80	
    246	  1999.28	      18.56	      22.80	
    247	  2007.38	      18.55	      22.80	
    248	  2015.48	      18.54	      22.80	
    249	  2023.58	      18.53	      22.80	
    250	  2031.68	      18.53	      22.80	
    251	  2039.78	      18.52	      22.80	
    252	  2047.88	      18.52	      22.80	
    253	  2055.98	      18.51	      22.80	
    254	  2064.08	      18.51	      22.80	
    255	  2072.18	      18.51	      22.80	
    256	  2080.28	      18.50	      22.80	
    257	  2088.38	      18.50	      22.80	
    258	  2096.48	      18.49	      22.80	
    259	  2104.58	      18.49	      22.80	
    260	  2112.68	      18.48	      22.80	
    261	  2120.78	      18.48	      22.80	
    262	  2128.88	      18.47	      22.80	
    263	  2136.98	      18.46	      22.80	
    264	  2145.08	      18.46	      22.80	
    265	  2153.18	      18.45	      22.80	
    266	  2161.28	      18.44	      22.80	
    267	  2169.38	      18.44	      22.80	
    268	  2177.48	      18.44	      22.80	
    269	  2185.58	      18.43	      22.80	
    270	  2193.68	      18.43	      22.80	
    271	  2201.78	      18.43	      22.80	
    272	  2209.88	      18.43	      22.80	
    273	  2217.98	      18.42	      22.80	
    274	  2226.08	      18.41	      22.80	
    275	  2234.18	      18.41	      22.80	
    276	  2242.28	      18.41	      22.80	
    277	  2250.38	      18.40	      22.90	
    278	  2258.48	      18.40	      22.90	
    279	  2266.58	      18.40	      22.90	
    280	  2274.68	      18.40	      22.90	
    281	  2282.78	      18.39	      22.90	
    282	  2290.88	      18.39	      22.90	
    283	  2298.98	      18.38	      22.90	
    284	  2307.08	      18.38	      22.90	
    285	  2315.18	      18.37	      22.90	
    286	  2323.28	      18.37	      22.90	
    287	  2331.38	      18.37	      22.90	
    288	  2339.48	      18.37	      22.90	
    289	  2347.58	      18.37	      22.90	
    290	  2355.68	      18.36	      22.90	
    291	  2363.78	      18.36	      22.90	
    292	  2371.88	      18.35	      22.90	
    293	  2379.98	      18.35	      22.90	
    294	  2388.08	      18.35	      22.90	
    295	  2396.18	      18.34	      22.90	
    296	  2404.28	      18.34	      22.90	
    297	  2412.38	      18.34	      22.90	
    298	  2420.48	      18.33	      22.90	
    299	  2428.58	      18.33	      22.90	
    300	  2436.68	      18.33	      22.90	
    301	  2444.78	      18.33	      22.90	
    302	  2452.88	      18.32	      22.90	
    303	  2460.98	      18.32	      22.90	
    304	  2469.08	      18.31	      22.90	
    305	  2477.18	      18.31	      22.90	
    306	  2485.28	      18.31	      22.90	
    307	  2493.38	      18.31	      22.90	
    308	  2501.48	      18.31	      22.90	
    309	  2509.58	      18.31	      22.90	
    310	  2517.68	      18.30	      22.90	
    311	  2525.78	      18.30	      22.90	
    312	  2533.88	      18.30	      22.90	
    313	  2541.98	      18.29	      22.90	
    314	  2550.08	      18.29	      22.90	
    315	  2558.18	      18.28	      22.90	
    316	  2566.28	      18.29	      22.90	
    317	  2574.38	      18.29	      22.90	
    318	  2582.48	      18.29	      22.90	
    319	  2590.58	      18.29	      22.90	
    320	  2598.68	      18.28	      22.90	
    321	  2606.78	      18.28	      22.90	
    322	  2614.88	      18.27	      22.90	
    323	  2622.98	      18.27	      22.90	
    324	  2631.08	      18.27	      22.90	
    325	  2639.18	      18.27	      22.90	
    326	  2647.28	      18.27	      22.90	
    327	  2655.38	      18.27	      22.90	
    328	  2663.48	      18.27	      22.90	
    329	  2671.58	      18.26	      22.90	
    330	  2679.68	      18.26	      22.90	
    331	  2687.78	      18.26	      22.90	
    332	  2695.88	      18.26	      22.90	
    333	  2703.98	      18.26	      22.90	
    334	  2712.08	      18.25	      22.90	
    335	  2720.18	      18.25	      22.90	
    336	  2728.28	      18.25	      22.90	
    337	  2736.38	      18.25	      22.90	
    338	  2744.48	      18.25	      22.90	
    339	  2752.58	      18.24	      22.90	
    340	  2760.68	      18.24	      22.90	
    341	  2768.78	      18.24	      22.90	
    342	  2776.88	      18.24	      22.90	
    343	  2784.98	      18.24	      22.90	
    344	  2793.08	      18.23	      22.90	
    345	  2801.18	      18.23	      22.90	
    346	  2809.28	      18.23	      22.90	
    347	  2817.38	      18.23	      22.90	
    348	  2825.48	      18.23	      22.90	
    349	  2833.58	      18.23	      22.90	
    350	  2841.68	      18.23	      22.90	
    351	  2849.78	      18.23	      22.90	
    352	  2857.88	      18.22	      22.90	
    353	  2865.98	      18.22	      22.90	
    354	  2874.08	      18.22	      22.90	
    355	  2882.18	      18.22	      22.90	
    356	  2890.28	      18.22	      22.90	
    357	  2898.38	      18.22	      22.90	
    358	  2906.48	      18.21	      22.90	
    359	  2914.58	      18.21	      22.90	
    360	  2922.68	      18.21	      22.90	
    361	  2930.78	      18.21	      23.00	
    362	  2938.88	      18.21	      23.00	
    363	  2946.98	      18.21	      23.00	
    364	  2955.08	      18.21	      23.00	
    365	  2963.18	      18.21	      23.00	
    366	  2971.28	      18.21	      23.00	
    367	  2979.38	      18.21	      23.00	
    368	  2987.48	      18.21	      23.00	
    369	  2995.58	      18.20	      23.00	
    370	  3003.68	      18.20	      23.00	
    371	  3011.78	      18.20	      23.00	
    372	  3019.88	      18.20	      23.00	
    373	  3027.98	      18.20	      23.00	
    374	  3036.08	      18.20	      23.00	
    375	  3044.18	      18.20	      23.00	
    376	  3052.28	      18.20	      23.00	
    377	  3060.38	      18.20	      23.00	
    378	  3068.48	      18.20	      23.00	
    379	  3076.58	      18.20	      23.00	
    380	  3084.68	      18.20	      23.00	
    381	  3092.78	      18.19	      23.00	
    382	  3100.88	      18.19	      23.00	
    383	  3108.98	      18.19	      23.00	
    384	  3117.08	      18.19	      23.00	
    385	  3125.18	      18.19	      23.00	
    386	  3133.28	      18.19	      23.00	
    387	  3141.38	      18.19	      23.00	
    388	  3149.48	      18.19	      23.00	
    389	  3157.58	      18.19	      23.00	
    390	  3165.68	      18.19	      23.00	
    391	  3173.78	      18.19	      23.00	
    392	  3181.88	      18.18	      23.00	
