 Number	Time[sec]	Conduct[uS]	TempWater[C]
    699	  5668.58	     322.00	      23.30	
    700	  5676.68	     323.00	      23.30	
    701	  5684.78	     323.00	      23.30	
    702	  5692.88	     323.00	      23.30	
    703	  5700.98	     323.00	      23.30	
    704	  5709.08	     323.00	      23.30	
    705	  5717.18	     323.00	      23.30	
    706	  5725.28	     323.00	      23.30	
    707	  5733.38	     323.00	      23.30	
    708	  5741.48	     323.00	      23.30	
    709	  5749.58	     323.00	      23.30	
    710	  5757.68	     323.00	      23.30	
    711	  5765.78	     323.00	      23.30	
    712	  5773.88	     323.00	      23.30	
    713	  5781.98	     323.00	      23.40	
    714	  5790.08	     323.00	      23.30	
    715	  5798.18	     323.00	      23.40	
    716	  5806.28	     323.00	      23.40	
    717	  5814.38	     323.00	      23.40	
    718	  5822.48	     323.00	      23.40	
    719	  5830.58	     323.00	      23.40	
    720	  5838.68	     323.00	      23.40	
    721	  5846.78	     323.00	      23.40	
    722	  5854.88	     323.00	      23.40	
    723	  5862.98	     170.20	      23.40	
    724	  5871.08	     183.60	      23.40	
    725	  5879.18	     123.90	      23.40	
    726	  5887.28	     128.10	      23.40	
    727	  5895.38	     141.60	      23.40	
    728	  5903.48	     123.60	      23.40	
    729	  5911.58	     135.40	      23.40	
    730	  5919.68	     126.00	      23.40	
    731	  5927.78	     130.90	      23.40	
    732	  5935.88	     135.20	      23.40	
    733	  5943.98	     129.20	      23.40	
    734	  5952.08	     133.10	      23.40	
    735	  5960.18	     129.40	      23.40	
    736	  5968.28	     131.60	      23.40	
    737	  5976.38	     132.70	      23.40	
    738	  5984.48	     130.80	      23.40	
    739	  5992.58	     132.10	      23.40	
    740	  6000.68	     131.80	      23.40	
    741	  6008.78	     131.60	      23.40	
    742	  6016.88	     131.80	      23.40	
    743	  6024.98	     131.30	      23.40	
    744	  6033.08	     131.70	      23.40	
    745	  6041.18	     131.40	      23.40	
    746	  6049.28	     131.50	      23.40	
    747	  6057.38	     131.40	      23.40	
    748	  6065.48	     131.30	      23.40	
    749	  6073.58	     131.40	      23.40	
    750	  6081.68	     131.30	      23.40	
    751	  6089.78	     209.00	      23.40	
    752	  6097.88	     138.10	      23.40	
    753	  6105.98	     144.40	      23.40	
    754	  6114.08	     165.90	      23.40	
    755	  6122.18	     144.20	      23.40	
    756	  6130.28	     169.50	      23.40	
    757	  6138.38	     150.10	      23.40	
    758	  6146.48	     162.40	      23.40	
    759	  6154.58	     159.70	      23.40	
    760	  6162.68	     159.50	      23.40	
    761	  6170.78	     171.10	      23.40	
    762	  6178.88	     160.10	      23.40	
    763	  6186.98	     167.40	      23.40	
    764	  6195.08	     161.70	      23.40	
    765	  6203.18	     165.10	      23.40	
    766	  6211.28	     168.00	      23.40	
    767	  6219.38	     164.20	      23.40	
    768	  6227.48	     206.00	      23.40	
    769	  6235.58	     175.10	      23.40	
    770	  6243.68	     247.00	      23.40	
    771	  6251.78	     213.00	      23.40	
    772	  6259.88	     217.00	      23.40	
    773	  6267.98	     219.00	      23.40	
    774	  6276.08	     188.10	      23.40	
    775	  6284.18	     216.00	      23.40	
    776	  6292.28	     196.40	      23.40	
    777	  6300.38	     198.10	      23.40	
    778	  6308.48	     321.00	      23.40	
    779	  6316.58	     204.00	      23.40	
    780	  6324.68	     298.00	      23.40	
    781	  6332.78	     219.00	      23.40	
    782	  6340.88	     228.00	      23.40	
    783	  6348.98	     240.00	      23.40	
    784	  6357.08	     228.00	      23.40	
    785	  6365.18	     246.00	      23.40	
    786	  6373.28	     231.00	      23.40	
    787	  6381.38	     248.00	      23.40	
    788	  6389.48	     235.00	      23.40	
    789	  6397.58	     245.00	      23.40	
    790	  6405.68	     248.00	      23.40	
    791	  6413.78	     243.00	      23.40	
    792	  6421.88	     247.00	      23.40	
    793	  6429.98	     242.00	      23.40	
    794	  6438.08	     247.00	      23.40	
    795	  6446.18	     247.00	      23.40	
    796	  6454.28	     277.00	      23.50	
    797	  6462.38	     255.00	      23.50	
    798	  6470.48	     295.00	      23.50	
    799	  6478.58	     259.00	      23.50	
    800	  6486.68	     286.00	      23.50	
    801	  6494.78	     265.00	      23.50	
    802	  6502.88	     283.00	      23.50	
    803	  6510.98	     376.00	      23.50	
    804	  6519.08	     301.00	      23.50	
    805	  6527.18	     377.00	      23.50	
    806	  6535.28	     290.00	      23.50	
    807	  6543.38	     352.00	      23.50	
    808	  6551.48	     303.00	      23.50	
    809	  6559.58	     340.00	      23.50	
    810	  6567.68	     314.00	      23.50	
    811	  6575.78	     306.00	      23.50	
    812	  6583.88	     318.00	      23.50	
    813	  6591.98	     309.00	      23.50	
    814	  6600.08	     323.00	      23.50	
    815	  6608.18	     316.00	      23.50	
    816	  6616.28	     323.00	      23.50	
    817	  6624.38	     348.00	      23.50	
    818	  6632.48	     327.00	      23.50	
    819	  6640.58	     360.00	      23.50	
    820	  6648.68	     330.00	      23.50	
    821	  6656.78	     355.00	      23.50	
    822	  6664.88	     358.00	      23.50	
    823	  6672.98	     352.00	      23.50	
    824	  6681.08	     356.00	      23.50	
    825	  6689.18	     350.00	      23.50	
    826	  6697.28	     408.00	      23.50	
    827	  6705.38	     360.00	      23.50	
    828	  6713.48	     424.00	      23.50	
    829	  6721.58	     378.00	      23.50	
    830	  6729.68	     365.00	      23.50	
    831	  6737.78	     385.00	      23.50	
    832	  6745.88	     370.00	      23.50	
    833	  6753.98	     387.00	      23.50	
    834	  6762.08	     373.00	      23.50	
    835	  6770.18	     392.00	      23.50	
    836	  6778.28	     376.00	      23.50	
    837	  6786.38	     390.00	      23.50	
    838	  6794.48	     379.00	      23.50	
    839	  6802.58	     388.00	      23.50	
    840	  6810.68	     386.00	      23.50	
    841	  6818.78	     387.00	      23.50	
    842	  6826.88	     385.00	      23.50	
    843	  6834.98	     383.00	      23.50	
    844	  6843.08	     385.00	      23.50	
    845	  6851.18	     383.00	      23.50	
    846	  6859.28	     385.00	      23.50	
    847	  6867.38	     384.00	      23.50	
    848	  6875.48	     385.00	      23.50	
    849	  6883.58	     384.00	      23.50	
    850	  6891.68	     385.00	      23.50	
    851	  6899.78	     385.00	      23.50	
    852	  6907.88	     385.00	      23.50	
    853	  6915.98	     385.00	      23.50	
    854	  6924.08	     385.00	      23.50	
    855	  6932.18	     385.00	      23.50	
    856	  6940.28	     384.00	      23.50	
    857	  6948.38	     385.00	      23.50	
    858	  6956.48	     384.00	      23.50	
    859	  6964.58	     385.00	      23.50	
    860	  6972.68	     384.00	      23.50	
    861	  6980.78	     385.00	      23.50	
    862	  6988.88	     384.00	      23.50	
    863	  6996.98	     385.00	      23.50	
    864	  7005.08	     384.00	      23.50	
    865	  7013.18	     384.00	      23.50	
    866	  7021.28	     384.00	      23.50	
    867	  7029.38	     384.00	      23.50	
    868	  7037.48	     384.00	      23.50	
    869	  7045.58	     384.00	      23.50	
    870	  7053.68	     384.00	      23.50	
    871	  7061.78	     384.00	      23.50	
