        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-0.303366	
1.000000	8.100000	-0.302199	
2.000000	16.200001	-0.301435	
3.000000	24.299999	-0.300257	
4.000000	32.400002	-0.299298	
5.000000	40.500000	-0.298323	
6.000000	48.599998	-0.297503	
7.000000	56.700001	-0.297281	
8.000000	64.800003	-0.295568	
9.000000	72.900002	-0.294746	
10.000000	81.000000	-0.294709	
11.000000	89.099998	-0.294315	
12.000000	97.199997	-0.294066	
13.000000	105.300003	-0.294226	
14.000000	113.400002	-0.293365	
15.000000	121.500000	-0.293273	
16.000000	129.600006	-0.292372	
17.000000	137.699997	-0.292512	
18.000000	145.800003	-0.291899	
19.000000	153.899994	-0.291155	
20.000000	162.000000	-0.291692	
21.000000	170.100006	-0.291485	
22.000000	178.199997	-0.291479	
23.000000	186.300003	-0.290761	
24.000000	194.399994	-0.290185	
25.000000	202.500000	-0.289557	
26.000000	210.600006	-0.288969	
27.000000	218.699997	-0.289526	
28.000000	226.800003	-0.289150	
29.000000	237.380005	-0.288869	
30.000000	245.479996	-0.288307	
31.000000	257.220001	-0.288415	
32.000000	265.320007	-0.288030	
33.000000	273.420013	-0.287864	
34.000000	281.519989	-0.287620	
35.000000	289.619995	-0.287022	
36.000000	297.720001	-0.287140	
37.000000	305.820007	-0.286733	
38.000000	313.920013	-0.285517	
39.000000	322.019989	-0.285723	
40.000000	330.119995	-0.285157	
41.000000	338.220001	-0.285098	
42.000000	346.320007	-0.284486	
43.000000	354.420013	-0.284094	
44.000000	362.519989	-0.284086	
45.000000	370.619995	-0.283397	
46.000000	378.720001	-0.283709	
47.000000	386.820007	-0.283333	
48.000000	394.920013	-0.283953	
49.000000	403.019989	-0.283250	
50.000000	411.119995	-0.283333	
51.000000	419.220001	-0.283171	
52.000000	427.320007	-0.282676	
53.000000	435.420013	-0.282406	
54.000000	443.519989	-0.281821	
55.000000	453.570007	-0.281366	
56.000000	461.670013	-0.280922	
57.000000	469.769989	-0.280132	
58.000000	477.869995	-0.249000	
59.000000	485.970001	-0.258680	
60.000000	494.070007	0.045888	
61.000000	502.170013	-0.020071	
62.000000	510.269989	0.032108	
63.000000	518.369995	-0.033525	
64.000000	526.469971	0.015203	
65.000000	534.570007	-0.025484	
66.000000	542.669983	0.005776	
67.000000	550.770020	-0.017632	
68.000000	558.869995	-0.001887	
69.000000	566.969971	-0.011838	
70.000000	575.070007	-0.007441	
71.000000	583.169983	-0.009937	
72.000000	591.270020	-0.009074	
73.000000	599.369995	-0.007885	
74.000000	607.469971	-0.012215	
75.000000	663.489990	-0.006061	
76.000000	671.590027	-0.005991	
77.000000	679.690002	-0.005996	
78.000000	687.789978	-0.007740	
79.000000	695.890015	-0.007223	
80.000000	703.989990	-0.008538	
81.000000	712.090027	-0.008578	
82.000000	720.190002	-0.007618	
83.000000	728.289978	-0.008235	
84.000000	736.390015	-0.009211	
85.000000	744.489990	-0.009787	
86.000000	752.590027	-0.010920	
87.000000	760.690002	-0.010573	
88.000000	768.789978	-0.009401	
89.000000	776.890015	-0.005986	
90.000000	784.989990	-0.010378	
91.000000	793.090027	-0.011053	
92.000000	801.190002	-0.013198	
93.000000	809.289978	-0.007033	
94.000000	817.390015	-0.006970	
95.000000	825.489990	-0.007800	
96.000000	833.590027	-0.007538	
97.000000	841.690002	-0.006761	
98.000000	849.789978	-0.007746	
99.000000	857.890015	-0.007375	
100.000000	865.989990	-0.006550	
101.000000	874.090027	-0.007792	
102.000000	882.190002	-0.007646	
103.000000	890.289978	-0.007247	
104.000000	898.390015	-0.008547	
105.000000	906.489990	-0.009314	
106.000000	914.590027	-0.008112	
107.000000	922.690002	-0.007701	
108.000000	930.789978	-0.008216	
109.000000	938.890015	-0.008828	
110.000000	946.989990	-0.008142	
111.000000	955.090027	-0.008484	
112.000000	963.190002	-0.008687	
113.000000	971.289978	-0.007887	
114.000000	979.390015	-0.006890	
115.000000	987.489990	-0.006632	
116.000000	995.590027	-0.005317	
117.000000	1003.690002	-0.001144	
118.000000	1011.789978	0.006533	
119.000000	1019.890015	0.043102	
120.000000	1027.989990	0.148600	
121.000000	1036.089966	0.275794	
122.000000	1044.189941	0.417843	
123.000000	1052.290039	0.594180	
124.000000	1060.390015	0.719426	
125.000000	1068.489990	0.788042	
126.000000	1076.589966	0.935138	
127.000000	1084.689941	1.036710	
128.000000	1092.790039	1.170084	
129.000000	1100.890015	1.295613	
130.000000	1108.989990	1.442407	
131.000000	1117.089966	1.609111	
132.000000	1125.189941	1.703597	
133.000000	1133.290039	1.796415	
134.000000	1141.390015	1.940657	
135.000000	1149.489990	2.081662	
136.000000	1157.589966	2.226989	
137.000000	1165.689941	2.367876	
138.000000	1173.790039	2.462299	
139.000000	1181.890015	2.592478	
140.000000	1189.989990	2.758358	
141.000000	1198.089966	2.906118	
142.000000	1206.189941	3.026509	
143.000000	1214.290039	3.129460	
144.000000	1222.390015	3.257774	
145.000000	1230.489990	3.377767	
146.000000	1238.589966	3.529585	
147.000000	1246.689941	3.705724	
148.000000	1254.790039	3.873448	
149.000000	1262.890015	3.938748	
150.000000	1270.989990	4.153078	
151.000000	1279.089966	4.286763	
152.000000	1287.189941	4.398348	
153.000000	1295.290039	4.533067	
154.000000	1303.390015	4.743920	
155.000000	1311.489990	4.957399	
156.000000	1319.589966	5.078182	
157.000000	1327.689941	5.132057	
158.000000	1335.790039	5.277401	
159.000000	1343.890015	5.425468	
160.000000	1351.989990	5.565650	
161.000000	1360.089966	5.679001	
162.000000	1368.189941	5.858285	
163.000000	1376.290039	5.985556	
164.000000	1384.390015	6.171322	
165.000000	1392.489990	6.392567	
166.000000	1400.589966	6.533795	
167.000000	1408.689941	6.673357	
168.000000	1416.790039	6.897551	
169.000000	1424.890015	7.129131	
170.000000	1432.989990	7.132822	
171.000000	1441.089966	7.314106	
172.000000	1449.189941	7.577069	
173.000000	1457.290039	7.769931	
174.000000	1465.390015	7.940621	
175.000000	1473.489990	8.106474	
176.000000	1481.589966	8.356904	
177.000000	1489.689941	8.614060	
178.000000	1497.790039	8.670456	
179.000000	1505.890015	8.862551	
180.000000	1513.989990	9.128234	
181.000000	1522.089966	9.244240	
182.000000	1530.189941	9.532068	
183.000000	1538.290039	9.765048	
184.000000	1546.390015	9.969805	
185.000000	1554.489990	10.365567	
186.000000	1562.589966	10.517291	
187.000000	1570.689941	10.763609	
188.000000	1578.790039	10.905856	
189.000000	1586.890015	11.217255	
190.000000	1594.989990	11.158698	
191.000000	1603.089966	11.478208	
192.000000	1611.189941	11.721954	
193.000000	1619.290039	11.859318	
194.000000	1627.390015	11.620568	
195.000000	1635.489990	11.221941	
196.000000	1672.650024	11.311613	
197.000000	1680.750000	11.164702	
198.000000	1688.849976	11.028258	
199.000000	1696.949951	11.005922	
200.000000	1705.050049	10.781264	
201.000000	1713.150024	10.606871	
202.000000	1721.250000	10.571732	
203.000000	1729.349976	10.326324	
204.000000	1737.449951	10.156426	
205.000000	1745.550049	9.994863	
206.000000	1753.650024	9.938275	
207.000000	1761.750000	9.898175	
208.000000	1769.849976	9.896152	
209.000000	1777.949951	9.888990	
210.000000	1786.050049	9.642859	
211.000000	1794.150024	9.605941	
212.000000	1802.250000	9.472426	
213.000000	1810.349976	9.470243	
214.000000	1818.449951	9.389338	
215.000000	1826.550049	9.059827	
216.000000	1834.650024	8.991610	
217.000000	1842.750000	8.913076	
218.000000	1850.849976	8.663207	
219.000000	1858.949951	8.594235	
220.000000	1867.050049	8.416256	
221.000000	1875.150024	8.335480	
222.000000	1883.250000	8.318779	
223.000000	1891.349976	8.099862	
224.000000	1899.449951	7.849867	
225.000000	1907.550049	7.897675	
226.000000	1915.650024	7.744061	
227.000000	1923.750000	7.558358	
228.000000	1931.849976	7.486015	
229.000000	1939.949951	7.472143	
230.000000	1948.050049	7.580173	
231.000000	1956.150024	7.120208	
232.000000	1964.250000	7.104067	
233.000000	1972.349976	6.993979	
234.000000	1980.449951	6.896082	
235.000000	1988.550049	6.814747	
236.000000	1996.650024	6.703152	
237.000000	2004.750000	6.747670	
238.000000	2012.849976	6.527380	
239.000000	2020.949951	6.443356	
240.000000	2029.050049	6.384017	
241.000000	2037.150024	6.302637	
242.000000	2045.250000	6.231272	
243.000000	2053.350098	6.086775	
244.000000	2061.449951	5.964411	
245.000000	2069.550049	5.961238	
246.000000	2077.649902	5.827092	
247.000000	2085.750000	5.829144	
248.000000	2093.850098	5.768209	
249.000000	2101.949951	5.647015	
250.000000	2110.050049	5.512061	
251.000000	2118.149902	5.441603	
252.000000	2126.250000	5.342492	
253.000000	2134.350098	5.295204	
254.000000	2142.449951	5.238476	
