        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-0.250354	
1.000000	8.100000	-0.250230	
2.000000	16.900000	-0.250170	
3.000000	68.510002	-0.250234	
4.000000	76.610001	-0.250737	
5.000000	84.709999	-0.250432	
6.000000	92.809998	-0.250402	
7.000000	100.910004	-0.250645	
8.000000	109.010002	-0.250687	
9.000000	117.110001	-0.250723	
10.000000	125.209999	-0.250853	
11.000000	133.309998	-0.250990	
12.000000	141.410004	-0.251158	
13.000000	149.509995	-0.250737	
14.000000	157.610001	-0.251128	
15.000000	165.710007	-0.251182	
16.000000	173.809998	-0.251048	
17.000000	181.910004	-0.251252	
18.000000	190.009995	-0.250880	
19.000000	198.110001	-0.251087	
20.000000	206.210007	-0.251219	
21.000000	214.309998	-0.251423	
22.000000	222.410004	-0.251413	
23.000000	230.509995	-0.251584	
24.000000	238.610001	-0.251505	
25.000000	246.710007	-0.251427	
26.000000	254.809998	-0.251393	
27.000000	262.910004	-0.251317	
28.000000	271.010010	-0.251632	
29.000000	279.109985	-0.251619	
30.000000	287.209991	-0.251356	
31.000000	303.200012	-0.251499	
32.000000	311.299988	-0.251564	
33.000000	319.399994	-0.251508	
34.000000	327.500000	-0.251649	
35.000000	335.600006	-0.251702	
36.000000	343.700012	-0.251587	
37.000000	351.799988	-0.251839	
38.000000	359.899994	-0.251744	
39.000000	368.000000	-0.251908	
40.000000	381.010010	-0.252030	
41.000000	389.109985	-0.252038	
42.000000	397.209991	-0.251908	
43.000000	405.309998	-0.252000	
44.000000	420.829987	-0.252109	
45.000000	428.929993	-0.252227	
46.000000	437.029999	-0.252059	
47.000000	445.130005	-0.251965	
48.000000	453.230011	-0.252101	
49.000000	461.329987	-0.252221	
50.000000	469.429993	-0.252141	
51.000000	477.529999	-0.252058	
52.000000	485.630005	-0.252240	
53.000000	493.730011	-0.252166	
54.000000	501.829987	-0.252319	
55.000000	509.929993	-0.252247	
56.000000	518.030029	-0.252401	
57.000000	526.130005	-0.252261	
58.000000	534.229980	-0.252205	
59.000000	542.330017	-0.252173	
60.000000	550.429993	-0.252315	
61.000000	558.530029	-0.252577	
62.000000	566.630005	-0.252361	
63.000000	574.729980	-0.252425	
64.000000	582.830017	-0.252233	
65.000000	590.929993	-0.252377	
66.000000	599.030029	-0.252422	
67.000000	607.130005	-0.252400	
68.000000	615.229980	-0.252358	
69.000000	623.330017	-0.252370	
70.000000	631.429993	-0.252486	
71.000000	639.530029	-0.252445	
72.000000	647.630005	-0.252618	
73.000000	655.729980	-0.252527	
74.000000	663.830017	-0.252478	
75.000000	671.929993	-0.252315	
76.000000	680.030029	-0.252485	
77.000000	688.130005	-0.252602	
78.000000	696.229980	-0.252605	
79.000000	704.330017	-0.252546	
80.000000	713.059998	-0.252637	
81.000000	721.169983	-0.252607	
82.000000	730.219971	-0.252408	
83.000000	738.320007	-0.252513	
84.000000	746.419983	-0.252412	
85.000000	754.580017	-0.252753	
86.000000	762.679993	-0.252668	
87.000000	770.780029	-0.252353	
88.000000	778.880005	-0.249768	
89.000000	786.979980	-0.233176	
90.000000	795.080017	-0.165183	
91.000000	803.179993	-0.002313	
92.000000	811.280029	0.519977	
93.000000	819.380005	0.094115	
94.000000	827.479980	-0.032083	
95.000000	835.580017	0.184159	
