        Number	     Time[sec]	     HI_over_I	
0.000000	0.000000	-28.858128	
1.000000	8.100000	-29.449963	
2.000000	16.200001	-30.459286	
3.000000	24.299999	-31.415596	
4.000000	32.400002	-32.426922	
5.000000	40.500000	-33.059845	
6.000000	48.599998	-33.734123	
7.000000	56.700001	-34.073132	
8.000000	64.800003	-35.695839	
9.000000	72.900002	-35.786110	
10.000000	81.000000	-36.453377	
11.000000	89.099998	-37.514851	
12.000000	97.199997	-37.937939	
13.000000	105.300003	-37.752186	
14.000000	113.400002	-38.339661	
15.000000	121.500000	-38.878269	
16.000000	129.600006	-39.099297	
17.000000	137.699997	-39.984169	
18.000000	145.800003	-40.531616	
19.000000	153.899994	-41.597889	
20.000000	162.000000	-41.301750	
21.000000	170.100006	-41.977669	
22.000000	178.199997	-42.417137	
23.000000	186.300003	-42.617706	
24.000000	194.399994	-43.877289	
25.000000	202.500000	-43.926819	
26.000000	210.600006	-45.278000	
27.000000	218.699997	-44.973736	
28.000000	226.800003	-45.122452	
29.000000	237.380005	-45.795723	
30.000000	245.479996	-46.231457	
31.000000	257.220001	-46.483803	
32.000000	265.320007	-47.627026	
33.000000	273.420013	-48.440681	
34.000000	281.519989	-48.696289	
35.000000	289.619995	-49.532848	
36.000000	297.720001	-49.303490	
37.000000	305.820007	-50.834076	
38.000000	313.920013	-52.437481	
39.000000	322.019989	-53.269508	
40.000000	330.119995	-53.429588	
41.000000	338.220001	-53.985741	
42.000000	346.320007	-55.469055	
43.000000	354.420013	-56.125633	
44.000000	362.519989	-56.690460	
45.000000	370.619995	-57.197231	
46.000000	378.720001	-58.099045	
47.000000	386.820007	-58.834167	
48.000000	394.920013	-57.767220	
49.000000	403.019989	-59.498562	
50.000000	411.119995	-60.126202	
51.000000	419.220001	-63.104584	
52.000000	427.320007	-63.824661	
53.000000	435.420013	-63.515717	
54.000000	443.519989	-64.362358	
55.000000	453.570007	-66.316750	
56.000000	461.670013	-67.590317	
57.000000	469.769989	-69.867798	
58.000000	477.869995	-199.398865	
59.000000	485.970001	36.936909	
60.000000	494.070007	-0.035511	
61.000000	502.170013	0.052475	
62.000000	510.269989	-0.079480	
63.000000	518.369995	0.068235	
64.000000	526.469971	-0.053066	
65.000000	534.570007	0.043892	
66.000000	542.669983	-0.034321	
67.000000	550.770020	0.023100	
68.000000	558.869995	-0.017995	
69.000000	566.969971	0.007839	
70.000000	575.070007	-0.006506	
71.000000	583.169983	-0.000057	
72.000000	591.270020	0.001550	
73.000000	599.369995	-0.005562	
74.000000	607.469971	0.004974	
75.000000	663.489990	-0.005023	
76.000000	671.590027	-0.001835	
77.000000	679.690002	-0.004347	
78.000000	687.789978	-0.001963	
79.000000	695.890015	-0.003188	
80.000000	703.989990	-0.002349	
81.000000	712.090027	-0.001855	
82.000000	720.190002	-0.002660	
83.000000	728.289978	-0.002564	
84.000000	736.390015	-0.002522	
85.000000	744.489990	-0.002260	
86.000000	752.590027	-0.001822	
87.000000	760.690002	-0.001634	
88.000000	768.789978	-0.002713	
89.000000	776.890015	-0.004274	
90.000000	784.989990	-0.002865	
91.000000	793.090027	-0.002507	
92.000000	801.190002	-0.001761	
93.000000	809.289978	-0.003846	
94.000000	817.390015	-0.004232	
95.000000	825.489990	-0.003927	
96.000000	833.590027	-0.003752	
97.000000	841.690002	-0.004156	
98.000000	849.789978	-0.003605	
99.000000	857.890015	-0.004588	
100.000000	865.989990	-0.004313	
101.000000	874.090027	-0.004048	
102.000000	882.190002	-0.004196	
103.000000	890.289978	-0.004514	
104.000000	898.390015	-0.003967	
105.000000	906.489990	-0.003762	
106.000000	914.590027	-0.004149	
107.000000	922.690002	-0.004383	
108.000000	930.789978	-0.003664	
109.000000	938.890015	-0.003152	
110.000000	946.989990	-0.002716	
111.000000	955.090027	-0.002521	
112.000000	963.190002	-0.002142	
113.000000	971.289978	-0.001635	
114.000000	979.390015	-0.001509	
115.000000	987.489990	-0.000338	
116.000000	995.590027	0.001245	
117.000000	1003.690002	0.004489	
118.000000	1011.789978	0.012133	
119.000000	1019.890015	0.057326	
120.000000	1027.989990	0.172766	
121.000000	1036.089966	0.297132	
122.000000	1044.189941	0.436062	
123.000000	1052.290039	0.609699	
124.000000	1060.390015	0.729140	
125.000000	1068.489990	0.797992	
126.000000	1076.589966	0.935585	
127.000000	1084.689941	1.033780	
128.000000	1092.790039	1.152154	
